Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,-2.000000000E+01
Attenuation,0.000000,Manual
Sweep Time,49442231.075697,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+4.944223108E+07
Average Type,Log Pwr
RBW,100000.000000,Manual
VBW,10.000000,Manual
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,49000000.00000000,,,,,,,
Marker Ampt,-68.96398068,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Sample
Trace Data
0,-12.59
65923,-23.47
131846,-47.25
197769,-59.34
263692,-59.31
329615,-60.88
395538,-61.77
461461,-64.64
527384,-64.26
593307,-62.99
659230,-61.94
725153,-61.26
791076,-54.79
856999,-28.25
922922,-14.79
988845,-12.76
1054768,-21.67
1120691,-43.16
1186614,-60.85
1252537,-61.34
1318459,-63.57
1384382,-65.29
1450305,-67.00
1516228,-68.96
1582151,-70.61
1648074,-69.37
1713997,-71.31
1779920,-71.56
1845843,-71.10
1911766,-72.76
1977689,-70.16
2043612,-71.64
2109535,-70.85
2175458,-69.68
2241381,-70.30
2307304,-68.80
2373227,-71.41
2439150,-65.56
2505073,-66.17
2570996,-66.70
2636919,-65.19
2702842,-66.94
2768765,-64.16
2834688,-46.04
2900611,-28.71
2966534,-22.75
3032457,-28.01
3098380,-45.20
3164303,-68.78
3230226,-66.54
3296149,-68.72
3362072,-69.48
3427995,-65.05
3493918,-67.87
3559841,-67.06
3625764,-68.24
3691687,-67.96
3757610,-68.32
3823533,-69.97
3889456,-63.49
