Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.456000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+4.000000000e+08
Average Type,Log Pwr
RBW,100000.000000,Manual
VBW,100000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0.000000e+00,3.710938e-01
5.333330e+05,9.765625e-03
1.066667e+06,0.000000e+00
1.600000e+06,-9.765625e-03
2.133333e+06,-1.953125e-02
2.666667e+06,-9.277344e-02
3.200000e+06,-1.171875e-01
3.733333e+06,-1.953125e-01
4.266667e+06,-3.125000e-01
4.800000e+06,-3.515625e-01
5.333334e+06,-4.394531e-01
5.866667e+06,-4.882812e-01
6.400000e+06,-5.419922e-01
6.933334e+06,-5.712891e-01
7.466667e+06,-6.494141e-01
8.000000e+06,-6.689453e-01
8.533333e+06,-6.884766e-01
9.066667e+06,-7.568359e-01
9.600000e+06,-7.568359e-01
1.013333e+07,-8.154297e-01
1.066667e+07,-8.398438e-01
1.120000e+07,-8.544922e-01
1.173333e+07,-8.789062e-01
1.226667e+07,-9.228516e-01
1.280000e+07,-9.765625e-01
1.333333e+07,-9.667969e-01
1.386667e+07,-9.863281e-01
1.440000e+07,-1.010742e+00
1.493333e+07,-1.049805e+00
1.546667e+07,-1.069336e+00
1.600000e+07,-1.108398e+00
1.653333e+07,-1.123047e+00
1.706667e+07,-1.147461e+00
1.760000e+07,-1.171875e+00
1.813333e+07,-1.196289e+00
1.866667e+07,-1.215820e+00
1.920000e+07,-1.240234e+00
1.973333e+07,-1.274414e+00
2.026667e+07,-1.298828e+00
2.080000e+07,-1.333008e+00
2.133333e+07,-1.367188e+00
2.186667e+07,-1.386719e+00
2.240000e+07,-1.420898e+00
2.293333e+07,-1.469727e+00
2.346667e+07,-1.455078e+00
2.400000e+07,-1.508789e+00
2.453333e+07,-1.499023e+00
2.506667e+07,-1.557617e+00
2.560000e+07,-1.567383e+00
2.613333e+07,-1.616211e+00
2.666667e+07,-1.645508e+00
2.720000e+07,-1.669922e+00
2.773333e+07,-1.704102e+00
2.826667e+07,-1.718750e+00
2.880000e+07,-1.757812e+00
2.933333e+07,-1.777344e+00
2.986667e+07,-1.816406e+00
3.040000e+07,-1.845703e+00
3.093333e+07,-1.879883e+00
3.146667e+07,-1.889648e+00
3.200000e+07,-1.914062e+00
3.253333e+07,-1.958008e+00
3.306667e+07,-1.997070e+00
3.360000e+07,-2.026367e+00
3.413333e+07,-2.026367e+00
3.466666e+07,-2.060547e+00
3.520000e+07,-2.075195e+00
3.573334e+07,-2.128906e+00
3.626667e+07,-2.153320e+00
3.680000e+07,-2.163086e+00
3.733333e+07,-2.182617e+00
3.786667e+07,-2.226562e+00
3.840000e+07,-2.236328e+00
3.893333e+07,-2.285156e+00
3.946667e+07,-2.270508e+00
4.000000e+07,-2.304688e+00
4.053333e+07,-2.333984e+00
4.106666e+07,-2.338867e+00
4.160000e+07,-2.377930e+00
4.213334e+07,-2.387695e+00
4.266667e+07,-2.416992e+00
4.320000e+07,-2.436523e+00
4.373333e+07,-2.441406e+00
4.426667e+07,-2.451172e+00
4.480000e+07,-2.475586e+00
4.533333e+07,-2.509766e+00
4.586667e+07,-2.529297e+00
4.640000e+07,-2.534180e+00
4.693333e+07,-2.553711e+00
4.746666e+07,-2.553711e+00
4.800000e+07,-2.602539e+00
4.853334e+07,-2.583008e+00
4.906667e+07,-2.607422e+00
4.960000e+07,-2.626953e+00
5.013334e+07,-2.636719e+00
5.066667e+07,-2.617188e+00
5.120000e+07,-2.651367e+00
5.173333e+07,-2.666016e+00
5.226666e+07,-2.670898e+00
5.280000e+07,-2.700195e+00
5.333333e+07,-2.675781e+00
5.386666e+07,-2.695312e+00
5.440000e+07,-2.690430e+00
5.493334e+07,-2.700195e+00
5.546667e+07,-2.709961e+00
5.600000e+07,-2.724609e+00
5.653333e+07,-2.714844e+00
5.706667e+07,-2.719727e+00
5.760000e+07,-2.724609e+00
5.813333e+07,-2.709961e+00
5.866667e+07,-2.739258e+00
5.920000e+07,-2.714844e+00
5.973333e+07,-2.739258e+00
6.026666e+07,-2.739258e+00
6.080000e+07,-2.739258e+00
6.133334e+07,-2.734375e+00
6.186667e+07,-2.744141e+00
6.240000e+07,-2.729492e+00
6.293334e+07,-2.724609e+00
6.346667e+07,-2.753906e+00
6.400000e+07,-2.744141e+00
6.453333e+07,-2.739258e+00
6.506666e+07,-2.709961e+00
6.560000e+07,-2.744141e+00
6.613333e+07,-2.734375e+00
6.666666e+07,-2.734375e+00
6.720000e+07,-2.739258e+00
6.773334e+07,-2.709961e+00
6.826666e+07,-2.724609e+00
6.880000e+07,-2.705078e+00
6.933333e+07,-2.700195e+00
6.986667e+07,-2.709961e+00
7.040000e+07,-2.709961e+00
7.093333e+07,-2.705078e+00
7.146667e+07,-2.695312e+00
7.200000e+07,-2.700195e+00
7.253334e+07,-2.680664e+00
7.306666e+07,-2.661133e+00
7.360000e+07,-2.685547e+00
7.413334e+07,-2.670898e+00
7.466666e+07,-2.666016e+00
7.520000e+07,-2.666016e+00
7.573334e+07,-2.675781e+00
7.626667e+07,-2.661133e+00
7.680000e+07,-2.646484e+00
7.733333e+07,-2.651367e+00
7.786666e+07,-2.646484e+00
7.840000e+07,-2.641602e+00
7.893334e+07,-2.631836e+00
7.946666e+07,-2.631836e+00
8.000000e+07,-2.626953e+00
8.053334e+07,-2.656250e+00
8.106666e+07,-2.622070e+00
8.160000e+07,-2.626953e+00
8.213333e+07,-2.612305e+00
8.266667e+07,-2.636719e+00
8.320000e+07,-2.597656e+00
8.373333e+07,-2.631836e+00
8.426667e+07,-2.597656e+00
8.480000e+07,-2.583008e+00
8.533334e+07,-2.587891e+00
8.586666e+07,-2.617188e+00
8.640000e+07,-2.592773e+00
8.693334e+07,-2.597656e+00
8.746666e+07,-2.612305e+00
8.800000e+07,-2.622070e+00
8.853334e+07,-2.636719e+00
8.906667e+07,-2.636719e+00
8.960000e+07,-2.631836e+00
9.013333e+07,-2.631836e+00
9.066666e+07,-2.617188e+00
9.120000e+07,-2.636719e+00
9.173334e+07,-2.651367e+00
9.226667e+07,-2.636719e+00
9.280000e+07,-2.651367e+00
9.333334e+07,-2.651367e+00
9.386666e+07,-2.651367e+00
9.440000e+07,-2.651367e+00
9.493333e+07,-2.675781e+00
9.546666e+07,-2.661133e+00
9.599999e+07,-2.685547e+00
