Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.336000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,300000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Max Hold,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
0.000000e+00,1.953125e-02,1.953125e-02,1.953125e-02,1.953125e-02
1.333333e+06,4.882812e-03,-1.953125e-02,-2.441406e-02,-4.394531e-02
2.666667e+06,-3.906250e-02,-1.025391e-01,-1.806641e-01,-2.490234e-01
4.000000e+06,-1.855469e-01,-4.101562e-01,-6.689453e-01,-9.326172e-01
5.333334e+06,-3.466797e-01,-7.373047e-01,-1.176758e+00,-1.625977e+00
6.666667e+06,-4.980469e-01,-1.044922e+00,-1.621094e+00,-2.163086e+00
8.000000e+06,-6.250000e-01,-1.284180e+00,-1.953125e+00,-2.568359e+00
9.333333e+06,-7.275391e-01,-1.474609e+00,-2.202148e+00,-2.885742e+00
1.066667e+07,-7.958984e-01,-1.621094e+00,-2.407227e+00,-3.173828e+00
1.200000e+07,-8.398438e-01,-1.718750e+00,-2.578125e+00,-3.364258e+00
1.333333e+07,-9.082031e-01,-1.855469e+00,-2.744141e+00,-3.598633e+00
1.466667e+07,-9.912109e-01,-1.982422e+00,-2.915039e+00,-3.793945e+00
1.600000e+07,-1.044922e+00,-2.094727e+00,-3.032227e+00,-3.964844e+00
1.733333e+07,-1.103516e+00,-2.177734e+00,-3.203125e+00,-4.169922e+00
1.866667e+07,-1.147461e+00,-2.299805e+00,-3.359375e+00,-4.331055e+00
