Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.336000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,300000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Max Hold,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
0.000000e+00,1.752930e+00,1.752930e+00,1.752930e+00,1.752930e+00
1.333333e+06,1.953125e-02,1.464844e-02,9.765625e-03,4.882812e-03
2.666667e+06,-4.882812e-03,-9.765625e-03,-1.953125e-02,-1.953125e-02
4.000000e+06,1.953125e-02,-4.882812e-03,-3.417969e-02,-5.859375e-02
5.333334e+06,9.765625e-03,-2.929688e-02,-7.324219e-02,-1.123047e-01
6.666667e+06,-4.882812e-03,-8.300781e-02,-1.367188e-01,-1.953125e-01
8.000000e+06,-4.882812e-02,-1.464844e-01,-2.246094e-01,-3.271484e-01
9.333333e+06,-7.812500e-02,-2.197266e-01,-3.417969e-01,-4.931641e-01
1.066667e+07,-1.269531e-01,-3.173828e-01,-4.638672e-01,-6.689453e-01
1.200000e+07,-1.855469e-01,-4.541016e-01,-6.201172e-01,-9.130859e-01
1.333333e+07,-2.197266e-01,-5.419922e-01,-7.763672e-01,-1.103516e+00
1.466667e+07,-3.125000e-01,-7.080078e-01,-9.912109e-01,-1.367188e+00
1.600000e+07,-3.271484e-01,-8.251953e-01,-1.127930e+00,-1.572266e+00
1.733333e+07,-3.955078e-01,-9.033203e-01,-1.259766e+00,-1.762695e+00
1.866667e+07,-4.492188e-01,-1.015625e+00,-1.435547e+00,-1.938477e+00
2.000000e+07,-4.638672e-01,-1.083984e+00,-1.552734e+00,-2.124023e+00
