Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),1.140000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,100000.000000,Manual
VBW,100000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,A,Frequency,0 Hz,-2.04 dB
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Max Hold,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
0.000000e+00,-2.036133e+00,-2.036133e+00,-2.036133e+00,-3.247070e+00
1.333333e+06,-3.759766e-01,-7.470703e-01,-1.157227e+00,-1.533203e+00
2.666667e+06,-1.083984e+00,-2.065430e+00,-2.993164e+00,-3.842773e+00
4.000000e+06,-1.416016e+00,-2.670898e+00,-3.789062e+00,-4.746094e+00
5.333334e+06,-1.684570e+00,-3.110352e+00,-4.360352e+00,-5.454102e+00
6.666667e+06,-1.918945e+00,-3.481445e+00,-4.833984e+00,-5.986328e+00
8.000000e+06,-2.124023e+00,-3.823242e+00,-5.234375e+00,-6.430664e+00
9.333333e+06,-2.182617e+00,-3.964844e+00,-5.424805e+00,-6.650391e+00
1.066667e+07,-2.290039e+00,-4.101562e+00,-5.590820e+00,-6.860352e+00
1.200000e+07,-2.329102e+00,-4.194336e+00,-5.703125e+00,-6.967773e+00
1.333333e+07,-2.382812e+00,-4.257812e+00,-5.781250e+00,-7.084961e+00
1.466667e+07,-2.421875e+00,-4.316406e+00,-5.849609e+00,-7.143555e+00
1.600000e+07,-2.446289e+00,-4.375000e+00,-5.917969e+00,-7.250977e+00
1.733333e+07,-2.470703e+00,-4.404297e+00,-5.961914e+00,-7.309570e+00
1.866667e+07,-2.490234e+00,-4.448242e+00,-6.010742e+00,-7.329102e+00
2.000000e+07,-2.558594e+00,-4.506836e+00,-6.088867e+00,-7.426758e+00
2.133333e+07,-2.563477e+00,-4.531250e+00,-6.108398e+00,-7.421875e+00
2.266667e+07,-2.573242e+00,-4.550781e+00,-6.127930e+00,-7.490234e+00
2.400000e+07,-2.573242e+00,-4.580078e+00,-6.176758e+00,-7.534180e+00
2.533333e+07,-2.592773e+00,-4.599609e+00,-6.206055e+00,-7.573242e+00
2.666667e+07,-2.622070e+00,-4.619141e+00,-6.220703e+00,-7.539062e+00
2.800000e+07,-2.607422e+00,-4.643555e+00,-6.245117e+00,-7.597656e+00
2.933333e+07,-2.626953e+00,-4.628906e+00,-6.264648e+00,-7.626953e+00
3.066667e+07,-2.612305e+00,-4.604492e+00,-6.250000e+00,-7.612305e+00
3.200000e+07,-2.636719e+00,-4.653320e+00,-6.269531e+00,-7.646484e+00
3.333333e+07,-2.626953e+00,-4.609375e+00,-6.250000e+00,-7.578125e+00
3.466666e+07,-2.622070e+00,-4.643555e+00,-6.235352e+00,-7.617188e+00
3.600000e+07,-2.607422e+00,-4.628906e+00,-6.254883e+00,-7.622070e+00
3.733333e+07,-2.622070e+00,-4.609375e+00,-6.225586e+00,-7.617188e+00
3.866666e+07,-2.626953e+00,-4.604492e+00,-6.269531e+00,-7.612305e+00
4.000000e+07,-2.597656e+00,-4.589844e+00,-6.191406e+00,-7.583008e+00
4.133334e+07,-2.583008e+00,-4.584961e+00,-6.191406e+00,-7.568359e+00
4.266667e+07,-2.558594e+00,-4.545898e+00,-6.152344e+00,-7.529297e+00
4.400000e+07,-2.553711e+00,-4.531250e+00,-6.132812e+00,-7.519531e+00
4.533333e+07,-2.539062e+00,-4.506836e+00,-6.103516e+00,-7.470703e+00
4.666667e+07,-2.495117e+00,-4.428711e+00,-6.054688e+00,-7.412109e+00
4.800000e+07,-2.470703e+00,-4.409180e+00,-6.010742e+00,-7.392578e+00
4.933333e+07,-2.436523e+00,-4.375000e+00,-5.952148e+00,-7.333984e+00
5.066667e+07,-2.407227e+00,-4.331055e+00,-5.913086e+00,-7.285156e+00
5.200000e+07,-2.392578e+00,-4.316406e+00,-5.854492e+00,-7.216797e+00
5.333333e+07,-2.343750e+00,-4.262695e+00,-5.810547e+00,-7.148438e+00
5.466667e+07,-2.314453e+00,-4.184570e+00,-5.742188e+00,-7.065430e+00
5.600000e+07,-2.309570e+00,-4.160156e+00,-5.673828e+00,-7.001953e+00
5.733334e+07,-2.275391e+00,-4.101562e+00,-5.639648e+00,-6.923828e+00
5.866667e+07,-2.207031e+00,-4.033203e+00,-5.517578e+00,-6.850586e+00
6.000000e+07,-2.163086e+00,-3.950195e+00,-5.463867e+00,-6.752930e+00
6.133334e+07,-2.128906e+00,-3.920898e+00,-5.400391e+00,-6.679688e+00
6.266666e+07,-2.109375e+00,-3.862305e+00,-5.341797e+00,-6.640625e+00
6.400000e+07,-2.070312e+00,-3.789062e+00,-5.258789e+00,-6.547852e+00
6.533334e+07,-2.031250e+00,-3.745117e+00,-5.205078e+00,-6.469727e+00
6.666666e+07,-2.021484e+00,-3.710938e+00,-5.146484e+00,-6.386719e+00
6.800000e+07,-1.987305e+00,-3.652344e+00,-5.087891e+00,-6.352539e+00
6.933333e+07,-1.977539e+00,-3.608398e+00,-5.048828e+00,-6.279297e+00
7.066666e+07,-1.933594e+00,-3.579102e+00,-4.990234e+00,-6.210938e+00
7.200000e+07,-1.918945e+00,-3.544922e+00,-4.936523e+00,-6.166992e+00
7.333333e+07,-1.865234e+00,-3.461914e+00,-4.848633e+00,-6.049805e+00
7.466666e+07,-1.855469e+00,-3.427734e+00,-4.799805e+00,-5.971680e+00
7.600000e+07,-1.816406e+00,-3.393555e+00,-4.741211e+00,-5.937500e+00
7.733333e+07,-1.801758e+00,-3.364258e+00,-4.653320e+00,-5.849609e+00
7.866666e+07,-1.782227e+00,-3.325195e+00,-4.638672e+00,-5.800781e+00
8.000000e+07,-1.752930e+00,-3.291016e+00,-4.614258e+00,-5.776367e+00
8.133334e+07,-1.752930e+00,-3.251953e+00,-4.580078e+00,-5.761719e+00
8.266667e+07,-1.723633e+00,-3.247070e+00,-4.545898e+00,-5.708008e+00
8.400000e+07,-1.743164e+00,-3.256836e+00,-4.555664e+00,-5.717773e+00
8.533334e+07,-1.713867e+00,-3.217773e+00,-4.501953e+00,-5.649414e+00
8.666667e+07,-1.708984e+00,-3.208008e+00,-4.487305e+00,-5.634766e+00
8.800000e+07,-1.708984e+00,-3.198242e+00,-4.482422e+00,-5.625000e+00
8.933334e+07,-1.704102e+00,-3.164062e+00,-4.462891e+00,-5.585938e+00
9.066666e+07,-1.694336e+00,-3.183594e+00,-4.472656e+00,-5.605469e+00
9.200001e+07,-1.674805e+00,-3.173828e+00,-4.453125e+00,-5.556641e+00
9.333334e+07,-1.679688e+00,-3.154297e+00,-4.438477e+00,-5.566406e+00
9.466666e+07,-1.689453e+00,-3.159180e+00,-4.438477e+00,-5.561523e+00
9.599999e+07,-1.684570e+00,-3.154297e+00,-4.453125e+00,-5.566406e+00
9.733334e+07,-1.689453e+00,-3.159180e+00,-4.428711e+00,-5.576172e+00
9.866666e+07,-1.713867e+00,-3.173828e+00,-4.462891e+00,-5.605469e+00
9.999999e+07,-1.704102e+00,-3.168945e+00,-4.443359e+00,-5.585938e+00
1.013333e+08,-1.689453e+00,-3.173828e+00,-4.453125e+00,-5.600586e+00
1.026667e+08,-1.689453e+00,-3.164062e+00,-4.414062e+00,-5.561523e+00
1.040000e+08,-1.694336e+00,-3.178711e+00,-4.448242e+00,-5.600586e+00
1.053333e+08,-1.708984e+00,-3.208008e+00,-4.438477e+00,-5.576172e+00
1.066667e+08,-1.694336e+00,-3.183594e+00,-4.438477e+00,-5.585938e+00
1.080000e+08,-1.708984e+00,-3.212891e+00,-4.472656e+00,-5.639648e+00
1.093333e+08,-1.704102e+00,-3.178711e+00,-4.458008e+00,-5.595703e+00
1.106667e+08,-1.738281e+00,-3.222656e+00,-4.511719e+00,-5.634766e+00
1.120000e+08,-1.718750e+00,-3.208008e+00,-4.477539e+00,-5.615234e+00
1.133333e+08,-1.689453e+00,-3.203125e+00,-4.467773e+00,-5.625000e+00
1.146667e+08,-1.679688e+00,-3.178711e+00,-4.458008e+00,-5.581055e+00
1.160000e+08,-1.689453e+00,-3.188477e+00,-4.462891e+00,-5.605469e+00
1.173333e+08,-1.669922e+00,-3.173828e+00,-4.443359e+00,-5.581055e+00
1.186667e+08,-1.665039e+00,-3.173828e+00,-4.453125e+00,-5.615234e+00
1.200000e+08,-1.674805e+00,-3.183594e+00,-4.423828e+00,-5.566406e+00
1.213333e+08,-1.669922e+00,-3.144531e+00,-4.418945e+00,-5.571289e+00
1.226667e+08,-1.640625e+00,-3.144531e+00,-4.389648e+00,-5.551758e+00
1.240000e+08,-1.669922e+00,-3.144531e+00,-4.389648e+00,-5.537109e+00
1.253333e+08,-1.640625e+00,-3.154297e+00,-4.414062e+00,-5.537109e+00
1.266667e+08,-1.635742e+00,-3.125000e+00,-4.370117e+00,-5.522461e+00
1.280000e+08,-1.625977e+00,-3.120117e+00,-4.365234e+00,-5.493164e+00
1.293333e+08,-1.645508e+00,-3.129883e+00,-4.370117e+00,-5.498047e+00
1.306667e+08,-1.606445e+00,-3.061523e+00,-4.345703e+00,-5.463867e+00
1.320000e+08,-1.586914e+00,-3.046875e+00,-4.316406e+00,-5.424805e+00
1.333333e+08,-1.577148e+00,-3.012695e+00,-4.287109e+00,-5.390625e+00
1.346667e+08,-1.557617e+00,-2.983398e+00,-4.238281e+00,-5.346680e+00
1.360000e+08,-1.552734e+00,-2.983398e+00,-4.257812e+00,-5.341797e+00
1.373333e+08,-1.552734e+00,-2.939453e+00,-4.204102e+00,-5.288086e+00
1.386667e+08,-1.552734e+00,-2.958984e+00,-4.223633e+00,-5.302734e+00
1.400000e+08,-1.533203e+00,-2.929688e+00,-4.184570e+00,-5.234375e+00
1.413333e+08,-1.538086e+00,-2.900391e+00,-4.140625e+00,-5.214844e+00
1.426667e+08,-1.528320e+00,-2.900391e+00,-4.150391e+00,-5.214844e+00
1.440000e+08,-1.533203e+00,-2.885742e+00,-4.111328e+00,-5.180664e+00
1.453333e+08,-1.528320e+00,-2.885742e+00,-4.106445e+00,-5.170898e+00
1.466667e+08,-1.513672e+00,-2.846680e+00,-4.062500e+00,-5.161133e+00
1.480000e+08,-1.499023e+00,-2.846680e+00,-4.057617e+00,-5.117188e+00
1.493333e+08,-1.484375e+00,-2.822266e+00,-4.028320e+00,-5.078125e+00
1.506667e+08,-1.494141e+00,-2.822266e+00,-4.003906e+00,-5.078125e+00
1.520000e+08,-1.464844e+00,-2.797852e+00,-3.984375e+00,-5.048828e+00
1.533333e+08,-1.469727e+00,-2.797852e+00,-3.984375e+00,-5.029297e+00
1.546667e+08,-1.455078e+00,-2.768555e+00,-3.940430e+00,-4.965820e+00
1.560000e+08,-1.455078e+00,-2.763672e+00,-3.930664e+00,-4.975586e+00
1.573333e+08,-1.450195e+00,-2.729492e+00,-3.886719e+00,-4.946289e+00
1.586667e+08,-1.440430e+00,-2.749023e+00,-3.920898e+00,-4.956055e+00
1.600000e+08,-1.416016e+00,-2.714844e+00,-3.886719e+00,-4.926758e+00
1.613333e+08,-1.430664e+00,-2.714844e+00,-3.876953e+00,-4.907227e+00
1.626667e+08,-1.425781e+00,-2.719727e+00,-3.886719e+00,-4.912109e+00
1.640000e+08,-1.396484e+00,-2.685547e+00,-3.842773e+00,-4.838867e+00
1.653333e+08,-1.420898e+00,-2.729492e+00,-3.847656e+00,-4.868164e+00
1.666667e+08,-1.406250e+00,-2.670898e+00,-3.842773e+00,-4.873047e+00
1.680000e+08,-1.430664e+00,-2.705078e+00,-3.862305e+00,-4.892578e+00
