Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.336000,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+09
Average Type,Log Pwr
RBW,300000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C
Trace Type,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak
Trace Data
0.000000e+00,2.329102e+00,2.329102e+00,2.309570e+00
1.333333e+06,3.906250e-02,3.906250e-02,1.953125e-02
2.666667e+06,2.441406e-02,2.441406e-02,1.464844e-02
4.000000e+06,2.929688e-02,2.929688e-02,2.441406e-02
5.333334e+06,1.953125e-02,1.953125e-02,1.953125e-02
6.666667e+06,2.929688e-02,2.929688e-02,2.929688e-02
8.000000e+06,-4.882812e-03,-4.882812e-03,-4.882812e-03
9.333333e+06,0.000000e+00,0.000000e+00,0.000000e+00
1.066667e+07,-9.765625e-03,-9.765625e-03,-9.765625e-03
1.200000e+07,-4.394531e-02,-4.394531e-02,-4.394531e-02
1.333333e+07,-6.347656e-02,-6.347656e-02,-7.324219e-02
1.466667e+07,-1.562500e-01,-1.562500e-01,-1.562500e-01
1.600000e+07,-1.757812e-01,-1.757812e-01,-2.001953e-01
1.733333e+07,-2.783203e-01,-2.783203e-01,-2.783203e-01
1.866667e+07,-3.613281e-01,-3.613281e-01,-3.759766e-01
2.000000e+07,-4.882812e-01,-4.882812e-01,-4.882812e-01
2.133333e+07,-5.810547e-01,-5.810547e-01,-5.859375e-01
