Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),1.822500,Auto
Start Frequency,+9.900000000e+05
Stop Frequency,+1.989900000e+08
Average Type,Log Pwr
RBW,30000.000000,Manual
VBW,30000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,A,Frequency,990.000 kHz,-6.97 dB
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C
Trace Type,Max Hold,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak,Pos Peak
Trace Data
9.900000e+05,-6.971089e+00,-6.971089e+00,-6.975972e+00
1.254000e+06,-2.376362e+00,-2.376362e+00,-2.376362e+00
1.518000e+06,-1.663472e+00,-1.663472e+00,-1.663472e+00
1.782000e+06,-1.082417e+00,-1.082417e+00,-1.082417e+00
2.046000e+06,-1.512105e+00,-1.512105e+00,-1.516987e+00
2.310000e+06,-1.897847e+00,-1.897847e+00,-1.897847e+00
2.574000e+06,-2.234761e+00,-2.234761e+00,-2.234761e+00
2.838000e+06,-2.513081e+00,-2.513081e+00,-2.517964e+00
3.102000e+06,-2.879292e+00,-2.879292e+00,-2.879292e+00
3.366000e+06,-3.245503e+00,-3.245503e+00,-3.250386e+00
3.630000e+06,-3.670308e+00,-3.670308e+00,-3.670308e+00
3.894000e+06,-4.031636e+00,-4.031636e+00,-4.031636e+00
4.158000e+06,-4.349019e+00,-4.349019e+00,-4.349019e+00
4.422000e+06,-4.690816e+00,-4.690816e+00,-4.695698e+00
4.686000e+06,-5.076558e+00,-5.076558e+00,-5.076558e+00
