Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),1.822500,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+2.000000000e+08
Average Type,Log Pwr
RBW,30000.000000,Manual
VBW,30000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Sweep
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,A,Frequency,0 Hz,1.92 dB
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B
Trace Type,Max Hold,Max Hold
Trace Detector,Pos Peak,Pos Peak
Trace Data
0.000000e+00,1.920513e+00,1.920513e+00
2.666670e+05,-1.883198e+00,-1.912495e+00
5.333330e+05,-9.408156e-01,-9.701125e-01
8.000000e+05,-2.572219e-01,-3.158156e-01
1.066667e+06,-5.843703e-01,-6.722609e-01
1.333333e+06,-8.919875e-01,-1.028706e+00
1.600000e+06,-1.180073e+00,-1.360737e+00
1.866667e+06,-1.458394e+00,-1.692769e+00
2.133333e+06,-1.888081e+00,-2.156636e+00
2.400000e+06,-2.259175e+00,-2.571675e+00
2.666667e+06,-2.708394e+00,-3.064839e+00
2.933333e+06,-3.064839e+00,-3.445698e+00
3.200000e+06,-3.528706e+00,-3.919331e+00
3.466667e+06,-3.997456e+00,-4.378316e+00
3.733333e+06,-4.475972e+00,-4.837300e+00
4.000000e+06,-5.017964e+00,-5.369527e+00
4.266667e+06,-5.472066e+00,-5.799214e+00
4.533334e+06,-6.053120e+00,-6.365620e+00
4.800000e+06,-6.585347e+00,-6.873433e+00
5.066667e+06,-7.141987e+00,-7.430073e+00
5.333334e+06,-7.644917e+00,-7.933003e+00
5.600000e+06,-8.113667e+00,-8.367573e+00
5.866667e+06,-8.680073e+00,-8.929097e+00
6.133334e+06,-9.183003e+00,-9.432027e+00
6.400000e+06,-9.710347e+00,-9.930073e+00
6.666667e+06,-1.015468e+01,-1.036464e+01
6.933334e+06,-1.068203e+01,-1.085781e+01
7.200000e+06,-1.113125e+01,-1.128750e+01
7.466667e+06,-1.155605e+01,-1.171718e+01
7.733334e+06,-1.201992e+01,-1.214687e+01
8.000000e+06,-1.237148e+01,-1.250332e+01
8.266667e+06,-1.284511e+01,-1.293789e+01
8.533333e+06,-1.326503e+01,-1.331875e+01
8.800000e+06,-1.363613e+01,-1.364589e+01
9.066667e+06,-1.403652e+01,-1.405117e+01
9.333333e+06,-1.430996e+01,-1.431972e+01
9.600000e+06,-1.472011e+01,-1.472011e+01
9.866667e+06,-1.502285e+01,-1.503261e+01
1.013333e+07,-1.540371e+01,-1.540371e+01
1.040000e+07,-1.564296e+01,-1.564296e+01
1.066667e+07,-1.594570e+01,-1.595546e+01
1.093333e+07,-1.626796e+01,-1.626796e+01
1.120000e+07,-1.653164e+01,-1.656093e+01
1.146667e+07,-1.685878e+01,-1.685878e+01
1.173333e+07,-1.708339e+01,-1.709804e+01
1.200000e+07,-1.739589e+01,-1.743007e+01
1.226667e+07,-1.767421e+01,-1.769375e+01
1.253333e+07,-1.795742e+01,-1.795742e+01
1.280000e+07,-1.819667e+01,-1.819667e+01
1.306667e+07,-1.838222e+01,-1.840175e+01
1.333333e+07,-1.875332e+01,-1.876796e+01
1.360000e+07,-1.892421e+01,-1.892421e+01
1.386667e+07,-1.920742e+01,-1.920742e+01
1.413333e+07,-1.940273e+01,-1.940761e+01
1.440000e+07,-1.960781e+01,-1.963222e+01
1.466667e+07,-1.992519e+01,-1.993007e+01
1.493333e+07,-2.012050e+01,-2.012050e+01
1.520000e+07,-2.039394e+01,-2.040859e+01
1.546667e+07,-2.057460e+01,-2.057460e+01
1.573333e+07,-2.079433e+01,-2.082363e+01
1.600000e+07,-2.098964e+01,-2.098964e+01
1.626667e+07,-2.120449e+01,-2.122402e+01
1.653333e+07,-2.145839e+01,-2.145839e+01
1.680000e+07,-2.158046e+01,-2.158046e+01
1.706667e+07,-2.186855e+01,-2.186855e+01
1.733333e+07,-2.208828e+01,-2.208828e+01
1.760000e+07,-2.230800e+01,-2.230800e+01
1.786667e+07,-2.248378e+01,-2.250332e+01
1.813333e+07,-2.265468e+01,-2.266445e+01
1.840000e+07,-2.290859e+01,-2.290859e+01
1.866667e+07,-2.308925e+01,-2.309902e+01
1.893333e+07,-2.333339e+01,-2.333339e+01
1.920000e+07,-2.343105e+01,-2.343105e+01
1.946667e+07,-2.369472e+01,-2.369472e+01
1.973333e+07,-2.386562e+01,-2.390957e+01
2.000000e+07,-2.407558e+01,-2.407558e+01
2.026667e+07,-2.430996e+01,-2.430996e+01
2.053333e+07,-2.436855e+01,-2.436855e+01
2.080000e+07,-2.465664e+01,-2.465664e+01
2.106667e+07,-2.487148e+01,-2.487148e+01
2.133333e+07,-2.504726e+01,-2.504726e+01
2.160000e+07,-2.515957e+01,-2.515957e+01
2.186667e+07,-2.539882e+01,-2.542324e+01
2.213333e+07,-2.564296e+01,-2.564296e+01
2.240000e+07,-2.576503e+01,-2.576503e+01
2.266667e+07,-2.603847e+01,-2.603847e+01
2.293333e+07,-2.611171e+01,-2.618007e+01
2.320000e+07,-2.636562e+01,-2.638515e+01
2.346667e+07,-2.657070e+01,-2.657070e+01
2.373333e+07,-2.676113e+01,-2.676113e+01
2.400000e+07,-2.695156e+01,-2.695644e+01
2.426667e+07,-2.708828e+01,-2.708828e+01
2.453333e+07,-2.728847e+01,-2.730312e+01
2.480000e+07,-2.750332e+01,-2.750332e+01
2.506667e+07,-2.763027e+01,-2.767910e+01
2.533333e+07,-2.778164e+01,-2.782558e+01
2.560000e+07,-2.794765e+01,-2.794765e+01
2.586667e+07,-2.818203e+01,-2.826992e+01
2.613333e+07,-2.831875e+01,-2.831875e+01
2.640000e+07,-2.858730e+01,-2.860683e+01
2.666667e+07,-2.881191e+01,-2.881191e+01
2.693333e+07,-2.898281e+01,-2.900722e+01
2.720000e+07,-2.909511e+01,-2.909511e+01
2.746667e+07,-2.930019e+01,-2.934902e+01
2.773333e+07,-2.944179e+01,-2.944179e+01
2.800000e+07,-2.958828e+01,-2.958828e+01
2.826667e+07,-2.987636e+01,-2.993984e+01
2.853333e+07,-3.001796e+01,-3.001796e+01
2.880000e+07,-3.017910e+01,-3.023281e+01
2.906667e+07,-3.049648e+01,-3.049648e+01
2.933333e+07,-3.056972e+01,-3.060390e+01
2.960000e+07,-3.086757e+01,-3.086757e+01
2.986667e+07,-3.096035e+01,-3.096035e+01
3.013333e+07,-3.121914e+01,-3.132167e+01
3.040000e+07,-3.141933e+01,-3.141933e+01
3.066667e+07,-3.165371e+01,-3.165371e+01
3.093333e+07,-3.167324e+01,-3.168300e+01
3.120000e+07,-3.196621e+01,-3.196621e+01
3.146667e+07,-3.221523e+01,-3.221523e+01
3.173333e+07,-3.226894e+01,-3.226894e+01
3.200000e+07,-3.250332e+01,-3.250332e+01
3.226667e+07,-3.282070e+01,-3.282070e+01
3.253333e+07,-3.292324e+01,-3.292324e+01
3.280000e+07,-3.322597e+01,-3.328457e+01
3.306667e+07,-3.335292e+01,-3.337246e+01
3.333333e+07,-3.370449e+01,-3.379238e+01
3.360000e+07,-3.378261e+01,-3.384609e+01
3.386667e+07,-3.408535e+01,-3.408535e+01
3.413333e+07,-3.409023e+01,-3.424160e+01
3.440000e+07,-3.440761e+01,-3.442714e+01
3.466666e+07,-3.462734e+01,-3.462734e+01
