No.,FREQUENCY(MHz),Z,D,PH
1,0.1000,339.9760,-0.00005,-90.0030
2,0.1008,337.3610,0.00015,-89.9910
3,0.1016,334.8300,0.00032,-89.9820
4,0.1024,332.2890,0.00013,-89.9930
5,0.1032,329.8320,0.00006,-89.9970
6,0.1040,327.2600,0.00025,-89.9850
7,0.1048,324.7420,0.00025,-89.9860
8,0.1056,322.3270,0.0001,-89.9940
9,0.1064,319.9060,0.00041,-89.9770
10,0.1073,317.4790,0.00039,-89.9780
11,0.1081,315.0970,0.00039,-89.9780
12,0.1089,312.7260,0.00037,-89.9790
13,0.1098,310.3050,0.00055,-89.9680
14,0.1106,307.9430,0.00056,-89.9680
15,0.1115,305.6390,0.00056,-89.9680
16,0.1124,303.3480,0.00059,-89.9660
17,0.1133,301.0490,0.00078,-89.9550
18,0.1141,298.6980,0.00067,-89.9610
19,0.1150,296.4290,0.00082,-89.9530
20,0.1159,294.1740,0.00081,-89.9540
21,0.1168,291.9290,0.00101,-89.9420
22,0.1177,289.7950,0.00082,-89.9530
23,0.1187,287.5560,0.00107,-89.9380
24,0.1196,285.3520,0.0009,-89.9490
25,0.1205,283.1900,0.00108,-89.9380
26,0.1215,281.0290,0.00103,-89.9410
27,0.1224,278.9110,0.00123,-89.9300
28,0.1234,276.7680,0.00118,-89.9330
29,0.1243,274.7120,0.00116,-89.9340
30,0.1253,272.5840,0.0012,-89.9310
31,0.1263,270.5140,0.00126,-89.9280
32,0.1273,268.4170,0.00132,-89.9240
33,0.1283,266.4060,0.00126,-89.9280
34,0.1293,264.3490,0.00129,-89.9260
35,0.1303,262.3860,0.00139,-89.9200
36,0.1313,260.3610,0.00143,-89.9180
37,0.1323,258.4200,0.00156,-89.9110
38,0.1334,256.4220,0.00147,-89.9160
39,0.1344,254.4640,0.00149,-89.9140
40,0.1354,252.5270,0.00148,-89.9150
41,0.1365,250.5970,0.00151,-89.9130
42,0.1376,248.6950,0.00153,-89.9120
43,0.1386,246.7860,0.00159,-89.9090
44,0.1397,244.8890,0.00165,-89.9050
45,0.1408,243.0420,0.00157,-89.9100
46,0.1419,241.1770,0.00166,-89.9050
47,0.1430,239.3650,0.00163,-89.9070
48,0.1441,237.5510,0.00171,-89.9020
49,0.1453,235.6810,0.00167,-89.9040
50,0.1464,233.9050,0.00166,-89.9050
51,0.1475,232.0950,0.00176,-89.8990
52,0.1487,230.3310,0.00176,-89.8990
53,0.1499,228.5710,0.00172,-89.9010
54,0.1510,226.8210,0.00177,-89.8980
55,0.1522,225.0950,0.00176,-89.8990
56,0.1534,223.3670,0.00183,-89.8950
57,0.1546,221.6770,0.00177,-89.8990
58,0.1558,219.9660,0.00177,-89.8980
59,0.1570,218.2720,0.00185,-89.8940
60,0.1582,216.6150,0.00183,-89.8950
61,0.1595,214.9630,0.0018,-89.8970
62,0.1607,213.3280,0.0018,-89.8970
63,0.1620,211.6800,0.00184,-89.8950
64,0.1632,210.0730,0.00189,-89.8920
65,0.1645,208.4430,0.00176,-89.8990
66,0.1658,206.8530,0.00185,-89.8940
67,0.1671,205.2690,0.00179,-89.8970
68,0.1684,203.7030,0.00186,-89.8930
69,0.1697,202.1180,0.00181,-89.8960
70,0.1710,200.5910,0.0018,-89.8970
71,0.1724,199.0330,0.00183,-89.8950
72,0.1737,197.5160,0.0018,-89.8970
73,0.1751,195.9950,0.00178,-89.8980
74,0.1764,194.5050,0.00177,-89.8990
75,0.1778,193.0180,0.00178,-89.8980
76,0.1792,191.5170,0.00174,-89.9000
77,0.1806,190.0490,0.00176,-89.8990
78,0.1820,188.6010,0.0017,-89.9030
79,0.1834,187.1430,0.00174,-89.9000
80,0.1849,185.7020,0.00177,-89.8990
81,0.1863,184.2720,0.0017,-89.9020
82,0.1878,182.8750,0.00163,-89.9070
83,0.1892,181.4600,0.00167,-89.9040
84,0.1907,180.0650,0.00161,-89.9080
85,0.1922,178.6800,0.00164,-89.9060
86,0.1937,177.2910,0.00156,-89.9110
87,0.1952,175.9360,0.00149,-89.9150
88,0.1967,174.5870,0.00158,-89.9090
89,0.1983,173.2350,0.00154,-89.9120
90,0.1998,171.9110,0.00154,-89.9120
91,0.2014,170.5870,0.00149,-89.9150
92,0.2030,169.2670,0.00157,-89.9100
93,0.2045,167.9590,0.00155,-89.9110
94,0.2061,166.6780,0.00144,-89.9180
95,0.2077,165.3940,0.0015,-89.9140
96,0.2094,164.1070,0.00142,-89.9190
97,0.2110,162.8450,0.00138,-89.9210
98,0.2127,161.5900,0.00143,-89.9180
99,0.2143,160.3450,0.00141,-89.9190
100,0.2160,159.1130,0.00142,-89.9190
101,0.2177,157.8770,0.00135,-89.9230
102,0.2194,156.6640,0.00134,-89.9230
103,0.2211,155.4610,0.00131,-89.9250
104,0.2228,154.2510,0.00126,-89.9280
105,0.2246,153.0710,0.0013,-89.9260
106,0.2263,151.8890,0.00125,-89.9290
107,0.2281,150.7200,0.00124,-89.9290
108,0.2299,149.5510,0.00121,-89.9310
109,0.2316,148.4060,0.00116,-89.9340
110,0.2335,147.2660,0.00122,-89.9300
111,0.2353,146.1230,0.00117,-89.9330
112,0.2371,144.9940,0.00116,-89.9330
113,0.2390,143.8800,0.00111,-89.9360
114,0.2408,142.7470,0.00111,-89.9360
115,0.2427,141.6540,0.00108,-89.9380
116,0.2446,140.5610,0.00109,-89.9380
117,0.2465,139.4720,0.0011,-89.9370
118,0.2484,138.3900,0.00101,-89.9420
119,0.2504,137.3230,0.00105,-89.9400
120,0.2523,136.2630,0.00101,-89.9420
121,0.2543,135.2070,0.00098,-89.9440
122,0.2563,134.1580,0.00099,-89.9430
123,0.2583,133.1260,0.00094,-89.9460
124,0.2603,132.1000,0.0009,-89.9480
125,0.2623,131.0690,0.00093,-89.9470
126,0.2644,130.0650,0.00091,-89.9480
127,0.2665,129.0640,0.0009,-89.9480
128,0.2685,128.0590,0.00084,-89.9520
129,0.2706,127.0650,0.00082,-89.9530
130,0.2727,126.0850,0.00087,-89.9500
131,0.2749,125.1120,0.00084,-89.9520
132,0.2770,124.1380,0.00079,-89.9550
133,0.2792,123.1830,0.00074,-89.9580
134,0.2814,122.2290,0.00075,-89.9570
135,0.2836,121.2810,0.00075,-89.9570
136,0.2858,120.3480,0.00079,-89.9550
137,0.2880,119.4160,0.00073,-89.9580
138,0.2903,118.4900,0.00074,-89.9570
139,0.2925,117.5710,0.00072,-89.9590
140,0.2948,116.6630,0.00068,-89.9610
141,0.2971,115.7540,0.0007,-89.9600
142,0.2994,114.8580,0.00073,-89.9580
143,0.3018,113.9760,0.00067,-89.9610
144,0.3041,113.0920,0.00069,-89.9600
145,0.3065,112.2180,0.0007,-89.9600
146,0.3089,111.3490,0.00065,-89.9630
147,0.3113,110.4870,0.00066,-89.9620
148,0.3137,109.6270,0.00068,-89.9610
149,0.3162,108.7800,0.00064,-89.9640
150,0.3187,107.9390,0.00064,-89.9630
151,0.3211,107.1050,0.00061,-89.9650
152,0.3236,106.2770,0.00061,-89.9650
153,0.3262,105.4510,0.00062,-89.9640
154,0.3287,104.6350,0.0006,-89.9660
155,0.3313,103.8180,0.00053,-89.9700
156,0.3339,103.0220,0.0006,-89.9650
157,0.3365,102.2230,0.00059,-89.9660
158,0.3391,101.4310,0.00055,-89.9680
159,0.3418,100.6450,0.00054,-89.9690
160,0.3444,99.8659,0.00053,-89.9690
161,0.3471,99.0939,0.00054,-89.9690
162,0.3498,98.3207,0.00057,-89.9670
163,0.3526,97.5616,0.00056,-89.9680
164,0.3553,96.8047,0.00054,-89.9690
165,0.3581,96.0544,0.00057,-89.9680
166,0.3609,95.3046,0.00054,-89.9690
167,0.3637,94.5718,0.00053,-89.9690
168,0.3665,93.8351,0.00052,-89.9700
169,0.3694,93.1095,0.00056,-89.9680
170,0.3723,92.3879,0.00054,-89.9690
171,0.3752,91.6676,0.00054,-89.9690
172,0.3781,90.9604,0.0005,-89.9710
173,0.3811,90.2561,0.00058,-89.9670
174,0.3841,89.5551,0.00054,-89.9690
175,0.3870,88.8632,0.00049,-89.9720
176,0.3901,88.1756,0.0005,-89.9720
177,0.3931,87.4930,0.00051,-89.9710
178,0.3962,86.8131,0.00051,-89.9710
179,0.3993,86.1378,0.00053,-89.9700
180,0.4024,85.4732,0.00049,-89.9720
181,0.4055,84.8087,0.00053,-89.9700
182,0.4087,84.1556,0.00052,-89.9700
183,0.4119,83.5011,0.0005,-89.9710
184,0.4151,82.8533,0.00051,-89.9710
185,0.4184,82.2086,0.00053,-89.9700
186,0.4216,81.5736,0.00051,-89.9710
187,0.4249,80.9384,0.0005,-89.9720
188,0.4282,80.3127,0.00054,-89.9690
189,0.4316,79.6908,0.00052,-89.9700
190,0.4349,79.0721,0.00052,-89.9700
191,0.4383,78.4587,0.00054,-89.9690
192,0.4418,77.8505,0.00055,-89.9680
193,0.4452,77.2484,0.00053,-89.9700
194,0.4487,76.6499,0.00052,-89.9700
195,0.4522,76.0539,0.00052,-89.9700
196,0.4557,75.4659,0.00054,-89.9690
197,0.4593,74.8781,0.00055,-89.9690
198,0.4629,74.2997,0.00056,-89.9680
199,0.4665,73.7226,0.00053,-89.9690
200,0.4701,73.1510,0.00056,-89.9680
201,0.4738,72.5840,0.00053,-89.9700
202,0.4775,72.0192,0.00057,-89.9670
203,0.4812,71.4628,0.00059,-89.9660
204,0.4850,70.9090,0.00056,-89.9680
205,0.4888,70.3594,0.00058,-89.9670
206,0.4926,69.8126,0.00056,-89.9680
207,0.4964,69.2710,0.00057,-89.9670
208,0.5003,68.7334,0.00056,-89.9680
209,0.5042,68.2026,0.0006,-89.9660
210,0.5082,67.6710,0.00059,-89.9660
211,0.5121,67.1474,0.00063,-89.9640
212,0.5161,66.6267,0.00059,-89.9660
213,0.5201,66.1083,0.00059,-89.9660
214,0.5242,65.5964,0.00064,-89.9630
215,0.5283,65.0853,0.00063,-89.9640
216,0.5324,64.5829,0.00064,-89.9640
217,0.5366,64.0820,0.00067,-89.9620
218,0.5408,63.5847,0.00065,-89.9630
219,0.5450,63.0906,0.00065,-89.9630
220,0.5493,62.6002,0.00065,-89.9630
221,0.5535,62.1133,0.00067,-89.9620
222,0.5579,61.6335,0.00068,-89.9610
223,0.5622,61.1549,0.00065,-89.9630
224,0.5666,60.6811,0.00069,-89.9610
225,0.5710,60.2087,0.0007,-89.9600
226,0.5755,59.7417,0.00069,-89.9600
227,0.5800,59.2788,0.00073,-89.9580
228,0.5845,58.8177,0.00074,-89.9580
229,0.5891,58.3618,0.00074,-89.9580
230,0.5937,57.9054,0.0007,-89.9600
231,0.5983,57.4600,0.0008,-89.9540
232,0.6030,57.0150,0.00076,-89.9570
233,0.6077,56.5711,0.00075,-89.9570
234,0.6124,56.1323,0.00077,-89.9560
235,0.6172,55.6956,0.00081,-89.9540
236,0.6220,55.2646,0.00077,-89.9560
237,0.6269,54.8356,0.00079,-89.9550
238,0.6318,54.4097,0.0008,-89.9540
239,0.6367,53.9867,0.00082,-89.9530
240,0.6417,53.5685,0.00082,-89.9530
241,0.6467,53.1519,0.00083,-89.9530
242,0.6518,52.7393,0.00083,-89.9520
243,0.6568,52.3300,0.00084,-89.9520
244,0.6620,51.9219,0.00086,-89.9510
245,0.6671,51.5205,0.00089,-89.9490
246,0.6724,51.1207,0.00089,-89.9490
247,0.6776,50.7233,0.0009,-89.9480
248,0.6829,50.3298,0.0009,-89.9480
249,0.6882,49.9381,0.0009,-89.9490
250,0.6936,49.5507,0.00095,-89.9450
251,0.6990,49.1662,0.00093,-89.9470
252,0.7045,48.7834,0.00097,-89.9440
253,0.7100,48.4041,0.00096,-89.9450
254,0.7155,48.0278,0.00097,-89.9450
255,0.7211,47.6542,0.00096,-89.9450
256,0.7267,47.2848,0.00099,-89.9430
257,0.7324,46.9162,0.00099,-89.9430
258,0.7381,46.5526,0.00102,-89.9420
259,0.7439,46.1899,0.00101,-89.9420
260,0.7497,45.8326,0.00104,-89.9410
261,0.7556,45.4752,0.00104,-89.9400
262,0.7615,45.1221,0.00106,-89.9390
263,0.7674,44.7722,0.00107,-89.9390
264,0.7734,44.4226,0.00108,-89.9380
265,0.7794,44.0777,0.0011,-89.9370
266,0.7855,43.7351,0.00113,-89.9360
267,0.7917,43.3947,0.00111,-89.9360
268,0.7978,43.0574,0.00113,-89.9350
269,0.8041,42.7229,0.00116,-89.9340
270,0.8103,42.3915,0.00117,-89.9330
271,0.8167,42.0607,0.00118,-89.9320
272,0.8230,41.7334,0.00119,-89.9320
273,0.8295,41.4091,0.00124,-89.9290
274,0.8359,41.0868,0.00123,-89.9300
275,0.8425,40.7656,0.00122,-89.9300
276,0.8491,40.4497,0.00126,-89.9280
277,0.8557,40.1348,0.00126,-89.9280
278,0.8624,39.8185,0.0013,-89.9260
279,0.8691,39.5118,0.0013,-89.9260
280,0.8759,39.2043,0.00128,-89.9270
281,0.8827,38.8997,0.00132,-89.9240
282,0.8896,38.5968,0.00136,-89.9220
283,0.8966,38.2950,0.0014,-89.9200
284,0.9036,38.0006,0.00147,-89.9160
285,0.9106,37.6959,0.00157,-89.9100
286,0.9177,37.3979,0.00144,-89.9170
287,0.9249,37.1185,0.00146,-89.9160
288,0.9321,36.8298,0.00141,-89.9190
289,0.9394,36.5409,0.00147,-89.9160
290,0.9467,36.2565,0.00147,-89.9160
291,0.9541,35.9745,0.0015,-89.9140
292,0.9616,35.6938,0.00149,-89.9150
293,0.9691,35.4163,0.00152,-89.9130
294,0.9766,35.1401,0.00151,-89.9130
295,0.9843,34.8657,0.00154,-89.9110
296,0.9920,34.5945,0.00156,-89.9100
297,0.9997,34.3239,0.00159,-89.9090
298,1.0075,34.0568,0.00191,-89.8900
299,1.0154,33.7914,0.00161,-89.9080
300,1.0233,33.5289,0.00162,-89.9070
301,1.0313,33.2668,0.00165,-89.9060
302,1.0393,33.0075,0.00168,-89.9040
303,1.0475,32.7484,0.0017,-89.9030
304,1.0556,32.4951,0.0017,-89.9020
305,1.0639,32.2392,0.00172,-89.9010
306,1.0722,31.9881,0.00176,-89.8990
307,1.0806,31.7369,0.00177,-89.8990
308,1.0890,31.4912,0.00175,-89.9000
309,1.0975,31.2449,0.00182,-89.8960
310,1.1061,31.0003,0.0018,-89.8970
311,1.1147,30.7597,0.00187,-89.8930
312,1.1234,30.5195,0.00188,-89.8920
313,1.1322,30.2801,0.0019,-89.8910
314,1.1410,30.0449,0.00189,-89.8920
315,1.1499,29.8102,0.00191,-89.8900
316,1.1589,29.5769,0.00194,-89.8890
317,1.1680,29.3441,0.00198,-89.8870
318,1.1771,29.1151,0.00199,-89.8860
319,1.1863,28.8876,0.00202,-89.8840
320,1.1955,28.6630,0.00205,-89.8830
321,1.2049,28.4377,0.00207,-89.8810
322,1.2143,28.2149,0.00207,-89.8820
323,1.2238,27.9937,0.00208,-89.8810
324,1.2333,27.7766,0.00215,-89.8770
325,1.2429,27.5599,0.00215,-89.8770
326,1.2526,27.3440,0.00217,-89.8750
327,1.2624,27.1304,0.00221,-89.8730
328,1.2723,26.9170,0.00226,-89.8700
329,1.2822,26.7063,0.00227,-89.8700
330,1.2922,26.4976,0.00225,-89.8710
331,1.3023,26.2898,0.00228,-89.8690
332,1.3125,26.0822,0.00233,-89.8670
333,1.3227,25.8792,0.00235,-89.8650
334,1.3331,25.6751,0.00238,-89.8640
335,1.3435,25.4739,0.00241,-89.8620
336,1.3540,25.2736,0.00243,-89.8610
337,1.3645,25.0774,0.00249,-89.8570
338,1.3752,24.8800,0.00253,-89.8550
339,1.3859,24.6852,0.00253,-89.8550
340,1.3968,24.4909,0.00254,-89.8550
341,1.4077,24.2984,0.00257,-89.8530
342,1.4187,24.1075,0.00262,-89.8500
343,1.4297,23.9197,0.00266,-89.8480
344,1.4409,23.7309,0.00268,-89.8470
345,1.4521,23.5452,0.0027,-89.8460
346,1.4635,23.3591,0.00271,-89.8450
347,1.4749,23.1760,0.00277,-89.8410
348,1.4864,22.9942,0.0028,-89.8390
349,1.4980,22.8136,0.00282,-89.8390
350,1.5097,22.6340,0.00286,-89.8360
351,1.5215,22.4557,0.0029,-89.8340
352,1.5334,22.2790,0.0029,-89.8340
353,1.5454,22.1035,0.00294,-89.8310
354,1.5574,21.9301,0.00295,-89.8310
355,1.5696,21.7572,0.00302,-89.8270
356,1.5819,21.5855,0.00308,-89.8240
357,1.5942,21.4163,0.00308,-89.8230
358,1.6067,21.2458,0.00312,-89.8210
359,1.6192,21.0796,0.00317,-89.8190
360,1.6318,20.9135,0.00322,-89.8160
361,1.6446,20.7479,0.00323,-89.8150
362,1.6574,20.5851,0.00325,-89.8140
363,1.6704,20.4219,0.00329,-89.8120
364,1.6834,20.2612,0.00333,-89.8090
365,1.6966,20.1001,0.00337,-89.8070
366,1.7098,19.9419,0.00338,-89.8060
367,1.7232,19.7837,0.00345,-89.8030
368,1.7366,19.6284,0.00347,-89.8010
369,1.7502,19.4729,0.0035,-89.8000
370,1.7638,19.3198,0.00354,-89.7970
371,1.7776,19.1665,0.00358,-89.7950
372,1.7915,19.0151,0.00366,-89.7910
373,1.8055,18.8641,0.00366,-89.7900
374,1.8196,18.7142,0.00372,-89.7870
375,1.8338,18.5662,0.00372,-89.7870
376,1.8481,18.4194,0.00379,-89.7830
377,1.8625,18.2742,0.00383,-89.7800
378,1.8771,18.1287,0.00388,-89.7780
379,1.8917,17.9847,0.00394,-89.7740
380,1.9065,17.8421,0.0040,-89.7710
381,1.9214,17.6998,0.00404,-89.7680
382,1.9364,17.5595,0.00407,-89.7670
383,1.9515,17.4198,0.0041,-89.7650
384,1.9667,17.2821,0.00415,-89.7620
385,1.9821,17.1444,0.0042,-89.7600
386,1.9976,17.0080,0.00424,-89.7570
387,2.0132,16.8723,0.00431,-89.7530
388,2.0289,16.7377,0.00435,-89.7510
389,2.0447,16.6056,0.0044,-89.7480
390,2.0607,16.4732,0.00445,-89.7450
391,2.0768,16.3415,0.00451,-89.7420
392,2.0930,16.2112,0.00457,-89.7380
393,2.1094,16.0809,0.00458,-89.7380
394,2.1258,15.9541,0.00465,-89.7330
395,2.1424,15.8263,0.00471,-89.7300
396,2.1592,15.6988,0.00473,-89.7290
397,2.1760,15.5745,0.00481,-89.7250
398,2.1930,15.4498,0.00481,-89.7240
399,2.2101,15.3264,0.00493,-89.7180
400,2.2274,15.2030,0.00495,-89.7170
401,2.2448,15.0816,0.00504,-89.7110
402,2.2623,14.9610,0.00508,-89.7090
403,2.2800,14.8407,0.00516,-89.7050
404,2.2978,14.7218,0.00523,-89.7000
405,2.3157,14.6038,0.00527,-89.6980
406,2.3338,14.4865,0.00533,-89.6950
407,2.3520,14.3699,0.00539,-89.6910
408,2.3704,14.2547,0.00543,-89.6890
409,2.3889,14.1400,0.00554,-89.6820
410,2.4076,14.0254,0.00561,-89.6790
411,2.4263,13.9133,0.00565,-89.6760
412,2.4453,13.8010,0.00578,-89.6690
413,2.4644,13.6898,0.00582,-89.6660
414,2.4836,13.5793,0.00588,-89.6630
415,2.5030,13.4694,0.00594,-89.6600
416,2.5226,13.3605,0.00602,-89.6550
417,2.5423,13.2522,0.00612,-89.6500
418,2.5621,13.1455,0.00618,-89.6460
419,2.5821,13.0392,0.00626,-89.6420
420,2.6023,12.9335,0.00629,-89.6390
421,2.6226,12.8284,0.00637,-89.6350
422,2.6431,12.7246,0.00641,-89.6330
423,2.6637,12.6218,0.00656,-89.6240
424,2.6845,12.5193,0.00666,-89.6180
425,2.7055,12.4165,0.00668,-89.6180
426,2.7266,12.3168,0.00681,-89.6100
427,2.7479,12.2163,0.00689,-89.6050
428,2.7694,12.1168,0.00694,-89.6020
429,2.7910,12.0179,0.00705,-89.5960
430,2.8128,11.9193,0.00713,-89.5910
431,2.8347,11.8226,0.00722,-89.5860
432,2.8569,11.7259,0.00735,-89.5790
433,2.8792,11.6296,0.00742,-89.5750
434,2.9017,11.5351,0.00752,-89.5690
435,2.9243,11.4407,0.00758,-89.5660
436,2.9471,11.3470,0.00764,-89.5620
437,2.9702,11.2538,0.00779,-89.5540
438,2.9934,11.1609,0.00788,-89.5490
439,3.0167,11.0694,0.00797,-89.5430
440,3.0403,10.9788,0.00808,-89.5370
441,3.0640,10.8881,0.00817,-89.5320
442,3.0879,10.7985,0.00825,-89.5270
443,3.1121,10.7093,0.0084,-89.5190
444,3.1364,10.6208,0.00851,-89.5130
445,3.1608,10.5330,0.00864,-89.5050
446,3.1855,10.4460,0.00876,-89.4980
447,3.2104,10.3597,0.00879,-89.4960
448,3.2355,10.2736,0.00893,-89.4880
449,3.2607,10.1883,0.00907,-89.4800
450,3.2862,10.1038,0.00919,-89.4740
451,3.3119,10.0196,0.00927,-89.4690
452,3.3377,9.93656,0.0094,-89.4610
453,3.3638,9.85322,0.00957,-89.4520
454,3.3900,9.77133,0.00966,-89.4460
455,3.4165,9.68976,0.00981,-89.4380
456,3.4432,9.60893,0.00992,-89.4320
457,3.4701,9.52831,0.01006,-89.4240
458,3.4972,9.44837,0.01019,-89.4160
459,3.5245,9.36934,0.01027,-89.4120
460,3.5520,9.2909,0.01037,-89.4060
461,3.5797,9.21237,0.01051,-89.3980
462,3.6077,9.13522,0.0107,-89.3870
463,3.6358,9.05862,0.01077,-89.3830
464,3.6642,8.98151,0.0109,-89.3760
465,3.6929,8.90595,0.01105,-89.3670
466,3.7217,8.83089,0.01122,-89.3570
467,3.7507,8.75573,0.0113,-89.3530
468,3.7800,8.68152,0.01144,-89.3450
469,3.8095,8.60791,0.01161,-89.3350
470,3.8393,8.53402,0.01176,-89.3260
471,3.8693,8.4617,0.01188,-89.3190
472,3.8995,8.3893,0.01201,-89.3120
473,3.9299,8.3179,0.01222,-89.3000
474,3.9606,8.24707,0.01232,-89.2940
475,3.9915,8.17578,0.0125,-89.2840
476,4.0227,8.10577,0.01268,-89.2730
477,4.0541,8.03639,0.01277,-89.2680
478,4.0858,7.9668,0.01303,-89.2530
479,4.1177,7.89862,0.01312,-89.2490
480,4.1498,7.82977,0.01328,-89.2390
481,4.1822,7.76234,0.01348,-89.2280
482,4.2149,7.69481,0.01363,-89.2190
483,4.2478,7.62842,0.01375,-89.2120
484,4.2810,7.56117,0.01396,-89.2000
485,4.3144,7.49594,0.01414,-89.1900
486,4.3481,7.4304,0.01431,-89.1800
487,4.3820,7.36576,0.0145,-89.1690
488,4.4163,7.30129,0.01467,-89.1590
489,4.4507,7.23742,0.01492,-89.1450
490,4.4855,7.17338,0.01501,-89.1400
491,4.5205,7.11056,0.01518,-89.1300
492,4.5558,7.04764,0.01543,-89.1160
493,4.5914,6.98515,0.01561,-89.1050
494,4.6272,6.92338,0.01574,-89.0980
495,4.6634,6.86182,0.01604,-89.0810
496,4.6998,6.80115,0.01619,-89.0730
497,4.7365,6.73982,0.01639,-89.0610
498,4.7735,6.67982,0.01664,-89.0470
499,4.8107,6.62017,0.0168,-89.0380
500,4.8483,6.56123,0.01698,-89.0270
501,4.8862,6.50238,0.01716,-89.0170
502,4.9243,6.44325,0.01734,-89.0070
503,4.9628,6.38477,0.01763,-88.9900
504,5.0015,6.32693,0.01781,-88.9800
505,5.0406,6.26978,0.01803,-88.9670
506,5.0799,6.21321,0.01818,-88.9580
507,5.1196,6.15642,0.01841,-88.9450
508,5.1596,6.10009,0.01867,-88.9300
509,5.1999,6.04352,0.01896,-88.9140
510,5.2405,5.98832,0.01923,-88.8980
511,5.2814,5.93319,0.01944,-88.8860
512,5.3226,5.87859,0.01967,-88.8730
513,5.3642,5.8237,0.01989,-88.8600
514,5.4061,5.77004,0.02011,-88.8480
515,5.4483,5.7160,0.02042,-88.8300
516,5.4908,5.66287,0.02067,-88.8160
517,5.5337,5.60996,0.02097,-88.7990
518,5.5769,5.55736,0.02125,-88.7830
519,5.6204,5.5042,0.02144,-88.7720
520,5.6643,5.45283,0.02178,-88.7530
521,5.7086,5.40128,0.02214,-88.7320
522,5.7531,5.34972,0.02233,-88.7210
523,5.7981,5.29914,0.02273,-88.6980
524,5.8433,5.24818,0.02292,-88.6870
525,5.8890,5.19759,0.02321,-88.6710
526,5.9349,5.14788,0.02351,-88.6530
527,5.9813,5.09811,0.02388,-88.6320
528,6.0280,5.04867,0.02408,-88.6210
529,6.0750,4.99972,0.02444,-88.6000
530,6.1225,4.95072,0.02481,-88.5790
531,6.1703,4.90202,0.02511,-88.5620
532,6.2185,4.85386,0.02542,-88.5440
533,6.2670,4.80621,0.02568,-88.5290
534,6.3160,4.75878,0.02605,-88.5080
535,6.3653,4.71126,0.02641,-88.4870
536,6.4150,4.66416,0.02679,-88.4650
537,6.4651,4.61742,0.02713,-88.4460
538,6.5155,4.57082,0.02746,-88.4270
539,6.5664,4.52519,0.02788,-88.4030
540,6.6177,4.47966,0.02834,-88.3770
541,6.6694,4.43334,0.0287,-88.3560
542,6.7214,4.38779,0.02913,-88.3320
543,6.7739,4.34266,0.02956,-88.3070
544,6.8268,4.29806,0.02975,-88.2960
545,6.8801,4.25377,0.03031,-88.2640
546,6.9339,4.20949,0.03074,-88.2390
547,6.9880,4.16547,0.0312,-88.2130
548,7.0426,4.12158,0.03164,-88.1880
549,7.0975,4.07836,0.0321,-88.1610
550,7.1530,4.03494,0.03252,-88.1370
551,7.2088,3.99222,0.03297,-88.1110
552,7.2651,3.94929,0.03361,-88.0750
