No.,FREQUENCY(MHz),Z,D,Cs
1,0.1000,358.0980,0.00816,0.000000004445
2,0.1008,355.4000,0.00862,0.000000004444
3,0.1016,352.7130,0.00857,0.000000004443
4,0.1024,350.0550,0.00855,0.000000004442
5,0.1032,347.4660,0.00849,0.00000000444
6,0.1040,344.8160,0.00847,0.00000000444
7,0.1048,342.2100,0.00863,0.000000004439
8,0.1056,339.6260,0.0086,0.000000004438
9,0.1064,337.0500,0.00849,0.000000004437
10,0.1073,334.5530,0.00887,0.000000004436
11,0.1081,332.0240,0.00872,0.000000004435
12,0.1089,329.5400,0.00871,0.000000004434
13,0.1098,326.9730,0.00883,0.000000004434
14,0.1106,324.5630,0.00903,0.000000004432
15,0.1115,322.1680,0.00903,0.000000004431
16,0.1124,319.6750,0.00897,0.000000004431
17,0.1133,317.2490,0.00909,0.00000000443
18,0.1141,314.8400,0.00922,0.000000004429
19,0.1150,312.4960,0.00903,0.000000004428
20,0.1159,310.1510,0.00927,0.000000004427
21,0.1168,307.7920,0.00948,0.000000004426
22,0.1177,305.4640,0.00939,0.000000004425
23,0.1187,303.1750,0.00944,0.000000004424
24,0.1196,300.9030,0.00951,0.000000004423
25,0.1205,298.6100,0.00948,0.000000004423
26,0.1215,296.3200,0.00956,0.000000004422
27,0.1224,294.1140,0.00955,0.000000004421
28,0.1234,291.8650,0.0097,0.00000000442
29,0.1243,289.6700,0.00968,0.000000004419
30,0.1253,287.4680,0.00984,0.000000004419
31,0.1263,285.2720,0.00981,0.000000004418
32,0.1273,283.0970,0.00989,0.000000004418
33,0.1283,280.9850,0.00985,0.000000004416
34,0.1293,278.8510,0.00982,0.000000004416
35,0.1303,276.7490,0.01003,0.000000004415
36,0.1313,274.6300,0.00995,0.000000004414
37,0.1323,272.5930,0.01005,0.000000004413
38,0.1334,270.5350,0.01001,0.000000004412
39,0.1344,268.4500,0.0101,0.000000004412
40,0.1354,266.4020,0.01028,0.000000004411
41,0.1365,264.3970,0.01032,0.00000000441
42,0.1376,262.4020,0.01005,0.000000004409
43,0.1386,260.4090,0.01025,0.000000004409
44,0.1397,258.4070,0.01024,0.000000004408
45,0.1408,256.4470,0.01023,0.000000004408
46,0.1419,254.5220,0.01029,0.000000004407
47,0.1430,252.5670,0.01032,0.000000004406
48,0.1441,250.6480,0.01031,0.000000004406
49,0.1453,248.7420,0.01037,0.000000004405
50,0.1464,246.8480,0.01049,0.000000004405
51,0.1475,244.9470,0.01048,0.000000004404
52,0.1487,243.1050,0.01048,0.000000004403
53,0.1499,241.2540,0.01045,0.000000004403
54,0.1510,239.4080,0.01058,0.000000004402
55,0.1522,237.6060,0.01056,0.000000004401
56,0.1534,235.7980,0.01051,0.000000004401
57,0.1546,234.0160,0.01057,0.0000000044
58,0.1558,232.2110,0.0106,0.0000000044
59,0.1570,230.4830,0.01066,0.000000004398
60,0.1582,228.7090,0.01075,0.000000004398
61,0.1595,226.9740,0.0107,0.000000004397
62,0.1607,225.2440,0.0107,0.000000004397
63,0.1620,223.5270,0.01073,0.000000004396
64,0.1632,221.8500,0.01074,0.000000004395
65,0.1645,220.1270,0.01078,0.000000004395
66,0.1658,218.4550,0.01071,0.000000004395
67,0.1671,216.7940,0.0108,0.000000004394
68,0.1684,215.1400,0.01084,0.000000004393
69,0.1697,213.4860,0.01074,0.000000004393
70,0.1710,211.8780,0.0108,0.000000004392
71,0.1724,210.2500,0.01077,0.000000004392
72,0.1737,208.6450,0.01083,0.000000004392
73,0.1751,207.0520,0.01079,0.000000004391
74,0.1764,205.4620,0.01081,0.000000004391
75,0.1778,203.9050,0.01091,0.00000000439
76,0.1792,202.3490,0.01087,0.000000004389
77,0.1806,200.8060,0.0108,0.000000004389
78,0.1820,199.2600,0.01087,0.000000004389
79,0.1834,197.7450,0.01076,0.000000004388
80,0.1849,196.2240,0.01086,0.000000004388
81,0.1863,194.7320,0.01083,0.000000004387
82,0.1878,193.2450,0.01088,0.000000004387
83,0.1892,191.7630,0.0108,0.000000004386
84,0.1907,190.2920,0.01076,0.000000004386
85,0.1922,188.8380,0.01082,0.000000004385
86,0.1937,187.3900,0.01078,0.000000004385
87,0.1952,185.9490,0.01079,0.000000004385
88,0.1967,184.5420,0.01085,0.000000004384
89,0.1983,183.1210,0.01081,0.000000004384
90,0.1998,181.7150,0.01079,0.000000004383
91,0.2014,180.3210,0.01084,0.000000004383
92,0.2030,178.9510,0.01081,0.000000004383
93,0.2045,177.5700,0.01083,0.000000004382
94,0.2061,176.2140,0.01089,0.000000004382
95,0.2077,174.8590,0.01087,0.000000004382
96,0.2094,173.5090,0.01079,0.000000004382
97,0.2110,172.1770,0.0108,0.000000004381
98,0.2127,170.8650,0.01086,0.000000004381
99,0.2143,169.5520,0.01081,0.00000000438
100,0.2160,168.2440,0.01083,0.00000000438
101,0.2177,166.9590,0.01076,0.00000000438
102,0.2194,165.6800,0.01081,0.000000004379
103,0.2211,164.4040,0.0108,0.000000004379
104,0.2228,163.1430,0.01082,0.000000004379
105,0.2246,161.8970,0.01082,0.000000004378
106,0.2263,160.6540,0.01082,0.000000004378
107,0.2281,159.4160,0.01074,0.000000004378
108,0.2299,158.1820,0.01076,0.000000004378
109,0.2316,156.9860,0.01078,0.000000004377
110,0.2335,155.7830,0.01077,0.000000004377
111,0.2353,154.5800,0.01084,0.000000004377
112,0.2371,153.3880,0.01077,0.000000004376
113,0.2390,152.2150,0.01079,0.000000004376
114,0.2408,151.0350,0.01082,0.000000004376
115,0.2427,149.8740,0.0108,0.000000004376
116,0.2446,148.7320,0.01081,0.000000004375
117,0.2465,147.5880,0.01083,0.000000004375
118,0.2484,146.4370,0.01079,0.000000004375
119,0.2504,145.3120,0.01077,0.000000004375
120,0.2523,144.2040,0.01081,0.000000004374
121,0.2543,143.0920,0.01077,0.000000004374
122,0.2563,141.9930,0.01082,0.000000004374
123,0.2583,140.9000,0.01075,0.000000004373
124,0.2603,139.8200,0.01078,0.000000004373
125,0.2623,138.7380,0.01082,0.000000004373
126,0.2644,137.6710,0.01083,0.000000004373
127,0.2665,136.6120,0.0108,0.000000004373
128,0.2685,135.5640,0.01082,0.000000004372
129,0.2706,134.5180,0.01083,0.000000004372
130,0.2727,133.4860,0.01083,0.000000004372
131,0.2749,132.4560,0.01085,0.000000004372
132,0.2770,131.4340,0.01086,0.000000004371
133,0.2792,130.4270,0.01086,0.000000004371
134,0.2814,129.4220,0.01084,0.000000004371
135,0.2836,128.4260,0.01092,0.000000004371
136,0.2858,127.4370,0.01085,0.000000004371
137,0.2880,126.4520,0.01088,0.00000000437
138,0.2903,125.4820,0.01087,0.00000000437
139,0.2925,124.5170,0.01093,0.00000000437
140,0.2948,123.5570,0.01096,0.00000000437
141,0.2971,122.6050,0.01099,0.000000004369
142,0.2994,121.6560,0.01096,0.000000004369
143,0.3018,120.7270,0.01102,0.000000004369
144,0.3041,119.7950,0.01097,0.000000004369
145,0.3065,118.8740,0.01102,0.000000004369
146,0.3089,117.9550,0.01099,0.000000004368
147,0.3113,117.0490,0.01103,0.000000004368
148,0.3137,116.1490,0.0110,0.000000004368
149,0.3162,115.2520,0.01104,0.000000004368
150,0.3187,114.3650,0.01107,0.000000004368
151,0.3211,113.4830,0.0111,0.000000004367
152,0.3236,112.6050,0.0111,0.000000004367
153,0.3262,111.7390,0.01114,0.000000004367
154,0.3287,110.8800,0.01118,0.000000004367
155,0.3313,110.0280,0.01118,0.000000004367
156,0.3339,109.1740,0.01112,0.000000004367
157,0.3365,108.3340,0.01117,0.000000004366
158,0.3391,107.4990,0.01117,0.000000004366
159,0.3418,106.6680,0.01121,0.000000004366
160,0.3444,105.8530,0.01121,0.000000004366
161,0.3471,105.0340,0.01125,0.000000004366
162,0.3498,104.2220,0.01126,0.000000004366
163,0.3526,103.4230,0.01127,0.000000004365
164,0.3553,102.6240,0.01132,0.000000004365
165,0.3581,101.8350,0.01137,0.000000004365
166,0.3609,101.0470,0.0113,0.000000004365
167,0.3637,100.2720,0.01137,0.000000004365
168,0.3665,99.4982,0.01137,0.000000004364
169,0.3694,98.7294,0.01143,0.000000004364
170,0.3723,97.9688,0.01143,0.000000004364
171,0.3752,97.2179,0.01146,0.000000004364
172,0.3781,96.4666,0.01148,0.000000004364
173,0.3811,95.7221,0.01147,0.000000004363
174,0.3841,94.9841,0.01151,0.000000004363
175,0.3870,94.2565,0.01156,0.000000004363
176,0.3901,93.5280,0.01155,0.000000004363
177,0.3931,92.8072,0.01159,0.000000004363
178,0.3962,92.0930,0.0116,0.000000004362
179,0.3993,91.3801,0.01161,0.000000004362
180,0.4024,90.6814,0.01162,0.000000004362
181,0.4055,89.9817,0.01165,0.000000004362
182,0.4087,89.2887,0.01168,0.000000004362
183,0.4119,88.5993,0.01172,0.000000004362
184,0.4151,87.9154,0.01175,0.000000004361
185,0.4184,87.2345,0.01177,0.000000004361
186,0.4216,86.5627,0.0118,0.000000004361
187,0.4249,85.8976,0.01183,0.000000004361
188,0.4282,85.2318,0.01186,0.000000004361
189,0.4316,84.5821,0.01188,0.00000000436
190,0.4349,83.9314,0.0119,0.00000000436
191,0.4383,83.2829,0.01193,0.00000000436
192,0.4418,82.6383,0.01197,0.00000000436
193,0.4452,82.0048,0.01199,0.00000000436
194,0.4487,81.3729,0.01202,0.000000004359
195,0.4522,80.7441,0.01202,0.000000004359
196,0.4557,80.1209,0.01209,0.000000004359
197,0.4593,79.5035,0.01214,0.000000004359
198,0.4629,78.8935,0.01212,0.000000004359
199,0.4665,78.2852,0.01218,0.000000004359
200,0.4701,77.6826,0.01222,0.000000004358
201,0.4738,77.0814,0.01222,0.000000004358
202,0.4775,76.4888,0.01229,0.000000004358
203,0.4812,75.8995,0.01228,0.000000004358
204,0.4850,75.3113,0.01236,0.000000004358
205,0.4888,74.7347,0.01235,0.000000004357
206,0.4926,74.1591,0.0124,0.000000004357
207,0.4964,73.5861,0.01244,0.000000004357
208,0.5003,73.0198,0.01247,0.000000004357
209,0.5042,72.4555,0.01249,0.000000004357
210,0.5082,71.8984,0.01253,0.000000004357
211,0.5121,71.3466,0.01257,0.000000004356
212,0.5161,70.7957,0.01259,0.000000004356
213,0.5201,70.2496,0.01267,0.000000004356
214,0.5242,69.7116,0.01269,0.000000004356
215,0.5283,69.1718,0.01271,0.000000004356
216,0.5324,68.6385,0.01273,0.000000004355
217,0.5366,68.1090,0.0128,0.000000004355
218,0.5408,67.5843,0.01282,0.000000004355
219,0.5450,67.0640,0.01284,0.000000004355
220,0.5493,66.5455,0.0129,0.000000004355
221,0.5535,66.0331,0.01293,0.000000004355
222,0.5579,65.5256,0.01297,0.000000004354
223,0.5622,65.0190,0.01301,0.000000004354
224,0.5666,64.5187,0.01305,0.000000004354
225,0.5710,64.0207,0.01308,0.000000004354
226,0.5755,63.5268,0.01313,0.000000004354
227,0.5800,63.0380,0.01316,0.000000004354
228,0.5845,62.5534,0.01322,0.000000004353
229,0.5891,62.0721,0.01325,0.000000004353
230,0.5937,61.5907,0.01323,0.000000004353
231,0.5983,61.1199,0.01334,0.000000004353
232,0.6030,60.6478,0.01337,0.000000004353
233,0.6077,60.1819,0.0134,0.000000004352
234,0.6124,59.7172,0.01345,0.000000004352
235,0.6172,59.2556,0.01348,0.000000004352
236,0.6220,58.7996,0.01353,0.000000004352
237,0.6269,58.3468,0.01357,0.000000004352
238,0.6318,57.8972,0.01359,0.000000004351
239,0.6367,57.4508,0.01364,0.000000004351
240,0.6417,57.0094,0.0137,0.000000004351
241,0.6467,56.5706,0.01374,0.000000004351
