No.,FREQUENCY(MHz),Z,D,Cs
1,0.1000,338.0380,0.00007,0.000000004708
2,0.1008,335.5260,0.00012,0.000000004707
3,0.1016,332.9380,0.00013,0.000000004706
4,0.1024,330.4450,0.00027,0.000000004705
5,0.1032,327.9660,0.00026,0.000000004704
6,0.1040,325.4010,0.00026,0.000000004704
7,0.1048,322.9920,0.00041,0.000000004703
8,0.1056,320.4830,0.00025,0.000000004703
9,0.1064,318.1200,0.00039,0.000000004701
10,0.1073,315.7030,0.0006,0.000000004701
11,0.1081,313.2480,0.00064,0.000000004701
12,0.1089,310.9170,0.00035,0.000000004699
13,0.1098,308.6300,0.00051,0.000000004697
14,0.1106,306.1830,0.00082,0.000000004698
15,0.1115,303.9400,0.00059,0.000000004696
16,0.1124,301.6030,0.00073,0.000000004696
17,0.1133,299.2680,0.00089,0.000000004696
18,0.1141,297.0110,0.00084,0.000000004695
19,0.1150,294.7410,0.00095,0.000000004694
20,0.1159,292.5270,0.00082,0.000000004693
21,0.1168,290.3000,0.00087,0.000000004693
22,0.1177,288.1370,0.00099,0.000000004691
23,0.1187,285.8940,0.00094,0.000000004691
24,0.1196,283.7140,0.00104,0.000000004691
25,0.1205,281.6110,0.00101,0.000000004689
26,0.1215,279.4180,0.00112,0.00000000469
27,0.1224,277.3170,0.00116,0.000000004688
28,0.1234,275.1700,0.00122,0.000000004688
29,0.1243,273.1360,0.00109,0.000000004687
30,0.1253,271.0000,0.00122,0.000000004687
31,0.1263,268.9470,0.00126,0.000000004686
32,0.1273,266.9030,0.00138,0.000000004685
33,0.1283,264.8830,0.00132,0.000000004685
34,0.1293,262.8550,0.00125,0.000000004684
35,0.1303,260.8630,0.00133,0.000000004683
36,0.1313,258.8740,0.00138,0.000000004683
37,0.1323,256.9320,0.00138,0.000000004682
38,0.1334,254.9590,0.00143,0.000000004681
39,0.1344,253.0100,0.00154,0.000000004681
40,0.1354,251.1090,0.00139,0.00000000468
41,0.1365,249.1710,0.00148,0.000000004679
42,0.1376,247.2980,0.00146,0.000000004679
43,0.1386,245.3450,0.00142,0.000000004679
44,0.1397,243.4880,0.00158,0.000000004678
45,0.1408,241.6180,0.00154,0.000000004678
46,0.1419,239.8120,0.0015,0.000000004677
47,0.1430,237.9650,0.00164,0.000000004676
48,0.1441,236.1910,0.00156,0.000000004675
49,0.1453,234.3180,0.00164,0.000000004676
50,0.1464,232.5530,0.00167,0.000000004675
51,0.1475,230.7640,0.00165,0.000000004675
52,0.1487,229.0100,0.00175,0.000000004674
53,0.1499,227.2290,0.00161,0.000000004674
54,0.1510,225.5120,0.00169,0.000000004673
55,0.1522,223.7670,0.00169,0.000000004673
56,0.1534,222.0730,0.0018,0.000000004672
57,0.1546,220.3730,0.00176,0.000000004672
58,0.1558,218.6750,0.00168,0.000000004672
59,0.1570,217.0070,0.00177,0.000000004671
60,0.1582,215.3620,0.00177,0.00000000467
61,0.1595,213.7100,0.00167,0.00000000467
62,0.1607,212.0790,0.00172,0.00000000467
63,0.1620,210.4550,0.0018,0.000000004669
64,0.1632,208.8440,0.00174,0.000000004669
65,0.1645,207.2200,0.00164,0.000000004669
66,0.1658,205.6550,0.00176,0.000000004668
67,0.1671,204.0650,0.00165,0.000000004668
68,0.1684,202.4920,0.00177,0.000000004668
69,0.1697,200.9420,0.00169,0.000000004667
70,0.1710,199.4110,0.00179,0.000000004667
71,0.1724,197.8760,0.00176,0.000000004666
72,0.1737,196.3680,0.00171,0.000000004666
73,0.1751,194.8540,0.00166,0.000000004666
74,0.1764,193.3540,0.00173,0.000000004665
75,0.1778,191.8730,0.00173,0.000000004665
76,0.1792,190.4040,0.00176,0.000000004665
77,0.1806,188.9400,0.00168,0.000000004664
78,0.1820,187.4840,0.0016,0.000000004664
79,0.1834,186.0470,0.00161,0.000000004664
80,0.1849,184.6130,0.00159,0.000000004663
81,0.1863,183.2000,0.00163,0.000000004663
82,0.1878,181.7940,0.00157,0.000000004663
83,0.1892,180.3980,0.00163,0.000000004662
84,0.1907,178.9900,0.00154,0.000000004662
85,0.1922,177.6210,0.00156,0.000000004662
86,0.1937,176.2650,0.00155,0.000000004661
87,0.1952,174.9100,0.00146,0.000000004661
88,0.1967,173.5460,0.00153,0.000000004662
89,0.1983,172.2230,0.00143,0.000000004661
90,0.1998,170.8900,0.00152,0.000000004661
91,0.2014,169.5800,0.00149,0.00000000466
92,0.2030,168.2780,0.00144,0.00000000466
93,0.2045,166.9770,0.00143,0.00000000466
94,0.2061,165.6950,0.00139,0.00000000466
95,0.2077,164.4140,0.00134,0.00000000466
96,0.2094,163.1460,0.00133,0.00000000466
97,0.2110,161.8900,0.0013,0.000000004659
98,0.2127,160.6380,0.00128,0.000000004659
99,0.2143,159.3850,0.00128,0.000000004659
100,0.2160,158.1720,0.00129,0.000000004659
101,0.2177,156.9520,0.00125,0.000000004659
102,0.2194,155.7410,0.00126,0.000000004658
103,0.2211,154.5370,0.00126,0.000000004658
104,0.2228,153.3440,0.00121,0.000000004658
105,0.2246,152.1550,0.00126,0.000000004658
106,0.2263,150.9840,0.00118,0.000000004658
107,0.2281,149.8190,0.00114,0.000000004658
108,0.2299,148.6710,0.00108,0.000000004657
109,0.2316,147.5250,0.0011,0.000000004657
110,0.2335,146.3800,0.0011,0.000000004657
111,0.2353,145.2530,0.00107,0.000000004657
112,0.2371,144.1320,0.00106,0.000000004657
113,0.2390,143.0220,0.00101,0.000000004657
114,0.2408,141.9090,0.00103,0.000000004657
115,0.2427,140.8100,0.00094,0.000000004657
116,0.2446,139.7270,0.00101,0.000000004657
117,0.2465,138.6410,0.0010,0.000000004657
118,0.2484,137.5720,0.00099,0.000000004657
119,0.2504,136.5080,0.00094,0.000000004657
120,0.2523,135.4640,0.00093,0.000000004656
121,0.2543,134.4110,0.00094,0.000000004656
122,0.2563,133.3710,0.00089,0.000000004656
123,0.2583,132.3420,0.00088,0.000000004656
124,0.2603,131.3180,0.00088,0.000000004656
125,0.2623,130.2950,0.00086,0.000000004656
126,0.2644,129.2940,0.00084,0.000000004656
127,0.2665,128.3010,0.00084,0.000000004656
128,0.2685,127.3070,0.00082,0.000000004656
129,0.2706,126.3110,0.00075,0.000000004656
130,0.2727,125.3400,0.00077,0.000000004656
131,0.2749,124.3710,0.00081,0.000000004656
132,0.2770,123.4040,0.00073,0.000000004656
133,0.2792,122.4530,0.00072,0.000000004655
134,0.2814,121.5010,0.00072,0.000000004656
135,0.2836,120.5670,0.00072,0.000000004655
136,0.2858,119.6290,0.0007,0.000000004656
137,0.2880,118.7090,0.00066,0.000000004655
138,0.2903,117.7870,0.00064,0.000000004655
139,0.2925,116.8710,0.00067,0.000000004655
140,0.2948,115.9680,0.00066,0.000000004655
141,0.2971,115.0710,0.0006,0.000000004655
142,0.2994,114.1810,0.00068,0.000000004655
143,0.3018,113.2980,0.00066,0.000000004655
144,0.3041,112.4210,0.00062,0.000000004655
145,0.3065,111.5500,0.00062,0.000000004655
146,0.3089,110.6880,0.0006,0.000000004655
147,0.3113,109.8330,0.00058,0.000000004655
148,0.3137,108.9810,0.00061,0.000000004655
149,0.3162,108.1380,0.00057,0.000000004655
150,0.3187,107.2990,0.00054,0.000000004655
151,0.3211,106.4690,0.00053,0.000000004655
152,0.3236,105.6420,0.00054,0.000000004655
153,0.3262,104.8230,0.00058,0.000000004655
154,0.3287,104.0090,0.00053,0.000000004655
155,0.3313,103.2000,0.0006,0.000000004655
156,0.3339,102.4090,0.00056,0.000000004655
157,0.3365,101.6130,0.0005,0.000000004655
158,0.3391,100.8270,0.00051,0.000000004655
159,0.3418,100.0470,0.00052,0.000000004655
160,0.3444,99.2719,0.00051,0.000000004655
161,0.3471,98.5025,0.00051,0.000000004655
162,0.3498,97.7358,0.00048,0.000000004655
163,0.3526,96.9807,0.00047,0.000000004655
164,0.3553,96.2311,0.0005,0.000000004655
165,0.3581,95.4844,0.00052,0.000000004655
166,0.3609,94.7422,0.00045,0.000000004655
167,0.3637,94.0098,0.00049,0.000000004655
