No.,FREQUENCY(MHz),Z,D,Cs
1,0.1000,9.36974,0.13464,-0.000000171393
2,0.1008,9.43947,0.13368,-0.000000168789
3,0.1016,9.51278,0.13262,-0.000000166163
4,0.1024,9.5848,0.13181,-0.000000163624
5,0.1032,9.65686,0.13089,-0.000000161124
6,0.1040,9.73232,0.12992,-0.00000015861
7,0.1048,9.80602,0.12896,-0.000000156182
8,0.1056,9.87964,0.12807,-0.000000153797
9,0.1064,9.95652,0.12726,-0.000000151418
10,0.1073,10.0321,0.12632,-0.000000149097
11,0.1081,10.1080,0.12546,-0.000000146812
12,0.1089,10.1855,0.12452,-0.000000144554
13,0.1098,10.2620,0.12365,-0.000000142351
14,0.1106,10.3406,0.12281,-0.000000140157
15,0.1115,10.4191,0.12182,-0.000000138011
16,0.1124,10.4991,0.12101,-0.000000135886
17,0.1133,10.5796,0.12029,-0.000000133793
18,0.1141,10.6613,0.11923,-0.000000131716
19,0.1150,10.7419,0.11848,-0.000000129705
20,0.1159,10.8237,0.11766,-0.000000127713
21,0.1168,10.9072,0.11675,-0.000000125746
22,0.1177,10.9893,0.11598,-0.00000012383
23,0.1187,11.0737,0.11508,-0.000000121922
24,0.1196,11.1588,0.1143,-0.00000012004
25,0.1205,11.2427,0.11351,-0.000000118214
26,0.1215,11.3294,0.11267,-0.000000116391
27,0.1224,11.4157,0.11182,-0.000000114604
28,0.1234,11.5038,0.11112,-0.000000112833
29,0.1243,11.5924,0.11032,-0.000000111095
30,0.1253,11.6798,0.10953,-0.000000109402
31,0.1263,11.7691,0.10875,-0.00000010772
32,0.1273,11.8601,0.10791,-0.000000106052
33,0.1283,11.9503,0.10718,-0.000000104431
34,0.1293,12.0415,0.10651,-0.000000102832
35,0.1303,12.1342,0.10563,-0.000000101245
36,0.1313,12.2271,0.10498,-0.000000099688
37,0.1323,12.3197,0.10415,-0.000000098168
38,0.1334,12.4149,0.10336,-0.000000096648
39,0.1344,12.5097,0.10266,-0.000000095167
40,0.1354,12.6052,0.10189,-0.000000093706
41,0.1365,12.7020,0.10117,-0.000000092262
42,0.1376,12.7994,0.10045,-0.000000090849
43,0.1386,12.8970,0.09969,-0.000000089452
44,0.1397,12.9972,0.09894,-0.00000008807
45,0.1408,13.0962,0.09813,-0.000000086721
46,0.1419,13.1952,0.09748,-0.000000085398
47,0.1430,13.2977,0.09678,-0.000000084076
48,0.1441,13.3990,0.09613,-0.000000082792
49,0.1453,13.5031,0.0954,-0.00000008151
50,0.1464,13.6058,0.09468,-0.000000080264
51,0.1475,13.7117,0.09402,-0.000000079019
52,0.1487,13.8165,0.09332,-0.000000077808
53,0.1499,13.9224,0.09257,-0.000000076613
54,0.1510,14.0289,0.09197,-0.000000075438
55,0.1522,14.1361,0.09129,-0.000000074281
56,0.1534,14.2453,0.09057,-0.000000073135
57,0.1546,14.3551,0.0900,-0.000000072013
58,0.1558,14.4648,0.0893,-0.000000070908
59,0.1570,14.5765,0.08858,-0.000000069813
60,0.1582,14.6882,0.08804,-0.000000068745
61,0.1595,14.8022,0.08734,-0.000000067681
62,0.1607,14.9149,0.08673,-0.000000066647
63,0.1620,15.0296,0.08617,-0.000000065621
64,0.1632,15.1457,0.08555,-0.000000064612
65,0.1645,15.2617,0.08486,-0.000000063619
66,0.1658,15.3792,0.08423,-0.000000062642
67,0.1671,15.4981,0.08359,-0.000000061674
68,0.1684,15.6175,0.08294,-0.000000060727
69,0.1697,15.7383,0.08234,-0.000000059789
70,0.1710,15.8585,0.08176,-0.000000058875
71,0.1724,15.9822,0.08114,-0.000000057963
72,0.1737,16.1044,0.08052,-0.000000057076
73,0.1751,16.2292,0.07996,-0.000000056195
74,0.1764,16.3547,0.07933,-0.000000055328
