No.,FREQUENCY(MHz),Z,D,PH
1,0.1000,38.7182,0.11666,-83.3460
2,0.1008,38.4429,0.11704,-83.3250
3,0.1016,38.1675,0.11748,-83.2990
4,0.1024,37.8984,0.11778,-83.2830
5,0.1032,37.6289,0.11818,-83.2600
6,0.1040,37.3589,0.11855,-83.2390
7,0.1048,37.0957,0.11895,-83.2170
8,0.1056,36.8291,0.1193,-83.1970
9,0.1064,36.5668,0.11972,-83.1730
10,0.1073,36.3091,0.12014,-83.1500
11,0.1081,36.0499,0.12043,-83.1330
12,0.1089,35.7953,0.12086,-83.1080
13,0.1098,35.5396,0.12123,-83.0880
14,0.1106,35.2854,0.12166,-83.0630
15,0.1115,35.0364,0.12203,-83.0430
16,0.1124,34.7867,0.1224,-83.0210
17,0.1133,34.5360,0.12288,-82.9950
18,0.1141,34.2894,0.12323,-82.9750
19,0.1150,34.0459,0.1236,-82.9540
20,0.1159,33.8021,0.12399,-82.9320
21,0.1168,33.5614,0.12443,-82.9070
22,0.1177,33.3231,0.12484,-82.8840
23,0.1187,33.0841,0.12524,-82.8610
24,0.1196,32.8470,0.12565,-82.8380
25,0.1205,32.6153,0.12606,-82.8150
26,0.1215,32.3814,0.12647,-82.7920
27,0.1224,32.1513,0.12688,-82.7690
28,0.1234,31.9182,0.12736,-82.7420
29,0.1243,31.6921,0.12768,-82.7240
30,0.1253,31.4645,0.12813,-82.6990
31,0.1263,31.2407,0.12854,-82.6750
32,0.1273,31.0163,0.12899,-82.6500
33,0.1283,30.7968,0.12941,-82.6260
34,0.1293,30.5758,0.12978,-82.6050
35,0.1303,30.3589,0.13025,-82.5790
36,0.1313,30.1419,0.13067,-82.5550
37,0.1323,29.9273,0.13112,-82.5300
38,0.1334,29.7119,0.13161,-82.5020
39,0.1344,29.5002,0.13203,-82.4790
40,0.1354,29.2886,0.13237,-82.4600
41,0.1365,29.0797,0.13289,-82.4310
42,0.1376,28.8725,0.13331,-82.4070
43,0.1386,28.6652,0.13376,-82.3810
44,0.1397,28.4610,0.13418,-82.3580
45,0.1408,28.2571,0.13466,-82.3310
46,0.1419,28.0563,0.13511,-82.3060
47,0.1430,27.8563,0.13561,-82.2770
48,0.1441,27.6589,0.1360,-82.2550
49,0.1453,27.4617,0.13652,-82.2260
50,0.1464,27.2648,0.13692,-82.2040
51,0.1475,27.0705,0.13738,-82.1780
52,0.1487,26.8775,0.13783,-82.1520
53,0.1499,26.6855,0.13827,-82.1280
54,0.1510,26.4951,0.13879,-82.0990
55,0.1522,26.3051,0.13929,-82.0700
56,0.1534,26.1169,0.13973,-82.0460
57,0.1546,25.9339,0.1402,-82.0190
58,0.1558,25.7472,0.14068,-81.9920
59,0.1570,25.5636,0.14115,-81.9660
60,0.1582,25.3824,0.14167,-81.9370
61,0.1595,25.2007,0.1421,-81.9120
62,0.1607,25.0218,0.14259,-81.8850
63,0.1620,24.8419,0.14307,-81.8580
64,0.1632,24.6658,0.14356,-81.8300
65,0.1645,24.4892,0.14401,-81.8050
66,0.1658,24.3159,0.1445,-81.7780
67,0.1671,24.1420,0.14502,-81.7480
68,0.1684,23.9697,0.14551,-81.7210
69,0.1697,23.7994,0.14603,-81.6920
70,0.1710,23.6299,0.14653,-81.6640
71,0.1724,23.4606,0.14702,-81.6360
72,0.1737,23.2952,0.14754,-81.6070
73,0.1751,23.1282,0.14802,-81.5800
74,0.1764,22.9652,0.14855,-81.5510
75,0.1778,22.8017,0.14902,-81.5240
76,0.1792,22.6392,0.1496,-81.4910
77,0.1806,22.4774,0.15006,-81.4660
78,0.1820,22.3184,0.15059,-81.4360
79,0.1834,22.1594,0.15108,-81.4090
80,0.1849,22.0012,0.15164,-81.3770
81,0.1863,21.8452,0.15216,-81.3480
82,0.1878,21.6906,0.1527,-81.3180
83,0.1892,21.5351,0.15323,-81.2880
84,0.1907,21.3825,0.15376,-81.2580
85,0.1922,21.2312,0.15428,-81.2300
86,0.1937,21.0801,0.15484,-81.1980
87,0.1952,20.9298,0.15539,-81.1680
88,0.1967,20.7822,0.15597,-81.1350
89,0.1983,20.6353,0.15645,-81.1080
90,0.1998,20.4882,0.15707,-81.0730
91,0.2014,20.3420,0.15758,-81.0450
92,0.2030,20.1992,0.1582,-81.0100
93,0.2045,20.0556,0.15871,-80.9820
94,0.2061,19.9134,0.15929,-80.9490
95,0.2077,19.7726,0.15983,-80.9190
96,0.2094,19.6314,0.16039,-80.8880
97,0.2110,19.4930,0.1610,-80.8540
98,0.2127,19.3551,0.16153,-80.8240
99,0.2143,19.2182,0.16214,-80.7900
100,0.2160,19.0813,0.16268,-80.7600
101,0.2177,18.9466,0.1633,-80.7250
102,0.2194,18.8125,0.16385,-80.6950
103,0.2211,18.6792,0.1644,-80.6640
104,0.2228,18.5476,0.16508,-80.6260
105,0.2246,18.4167,0.16557,-80.5990
106,0.2263,18.2862,0.16624,-80.5620
107,0.2281,18.1570,0.1668,-80.5300
108,0.2299,18.0287,0.16742,-80.4960
109,0.2316,17.9021,0.1680,-80.4630
110,0.2335,17.7752,0.16856,-80.4320
111,0.2353,17.6501,0.16916,-80.3990
112,0.2371,17.5257,0.16976,-80.3650
113,0.2390,17.4028,0.17037,-80.3310
114,0.2408,17.2790,0.1710,-80.2970
115,0.2427,17.1559,0.17163,-80.2610
116,0.2446,17.0363,0.17228,-80.2250
117,0.2465,16.9157,0.17297,-80.1870
118,0.2484,16.7966,0.17356,-80.1540
119,0.2504,16.6785,0.17417,-80.1200
120,0.2523,16.5616,0.17482,-80.0840
121,0.2543,16.4451,0.17544,-80.0490
122,0.2563,16.3295,0.1761,-80.0130
123,0.2583,16.2150,0.17666,-79.9810
124,0.2603,16.1008,0.17736,-79.9430
125,0.2623,15.9868,0.17801,-79.9070
126,0.2644,15.8750,0.17868,-79.8690
127,0.2665,15.7637,0.17928,-79.8360
128,0.2685,15.6534,0.17995,-79.7990
129,0.2706,15.5426,0.18054,-79.7660
130,0.2727,15.4341,0.18127,-79.7260
131,0.2749,15.3258,0.18192,-79.6890
132,0.2770,15.2176,0.18262,-79.6510
133,0.2792,15.1111,0.18328,-79.6140
134,0.2814,15.0053,0.18392,-79.5780
135,0.2836,14.9001,0.18464,-79.5390
136,0.2858,14.7967,0.18532,-79.5010
137,0.2880,14.6924,0.18599,-79.4640
138,0.2903,14.5896,0.1867,-79.4250
139,0.2925,14.4879,0.18739,-79.3870
140,0.2948,14.3866,0.1881,-79.3470
141,0.2971,14.2864,0.18879,-79.3090
142,0.2994,14.1868,0.18943,-79.2740
143,0.3018,14.0885,0.19009,-79.2370
144,0.3041,13.9885,0.19079,-79.1980
145,0.3065,13.8917,0.19152,-79.1580
146,0.3089,13.7936,0.19223,-79.1190
147,0.3113,13.6976,0.19299,-79.0770
148,0.3137,13.6016,0.19365,-79.0400
149,0.3162,13.5073,0.19435,-79.0020
150,0.3187,13.4126,0.19506,-78.9630
151,0.3211,13.3197,0.19585,-78.9190
152,0.3236,13.2275,0.19661,-78.8770
153,0.3262,13.1357,0.1973,-78.8390
154,0.3287,13.0439,0.1980,-78.8000
155,0.3313,12.9528,0.19878,-78.7570
156,0.3339,12.8637,0.19936,-78.7250
157,0.3365,12.7747,0.20013,-78.6830
158,0.3391,12.6853,0.20088,-78.6420
159,0.3418,12.5966,0.20154,-78.6050
160,0.3444,12.5092,0.20233,-78.5620
161,0.3471,12.4224,0.2031,-78.5200
