Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,-2.000000000E+01
Attenuation,0.000000,Manual
Sweep Time,49442231.075697,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+4.944223108E+07
Average Type,Log Pwr
RBW,100000.000000,Manual
VBW,10.000000,Manual
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,49000000.00000000,,,,,,,
Marker Ampt,-68.71984005,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Sample
Trace Data
0,-12.62
65923,-23.50
131846,-47.27
197769,-60.05
263692,-60.34
329615,-61.47
395538,-62.91
461461,-64.90
527384,-64.13
593307,-63.49
659230,-62.08
725153,-61.42
791076,-54.84
856999,-28.26
922922,-14.81
988845,-12.78
1054768,-21.69
1120691,-43.19
1186614,-61.22
1252537,-61.47
1318459,-62.97
1384382,-65.66
1450305,-66.80
1516228,-69.02
1582151,-69.71
1648074,-70.47
1713997,-71.21
1779920,-71.76
1845843,-72.75
1911766,-71.30
1977689,-72.24
2043612,-71.00
2109535,-71.47
2175458,-72.69
2241381,-69.73
2307304,-71.87
2373227,-67.09
2439150,-64.95
2505073,-66.43
2570996,-67.10
2636919,-68.13
2702842,-65.12
2768765,-68.17
2834688,-46.45
2900611,-28.42
2966534,-22.91
3032457,-28.11
3098380,-44.98
3164303,-66.05
3230226,-67.28
3296149,-67.90
3362072,-66.28
3427995,-70.24
3493918,-67.47
3559841,-70.60
3625764,-67.36
3691687,-67.98
3757610,-69.17
3823533,-63.27
3889456,-65.89
