Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBuV
Impedance,50
Number of Points,751
Sweep Time(s),0.962438,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+05
Average Type,Log Pwr
RBW,100.000000,Manual
VBW,100.000000,Manual
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,A,Frequency,90.000 kHz,22.53 dBuV
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0.000000e+00,-8.096730e+00
1.330000e+02,-1.242778e+01
2.670000e+02,-5.397564e+01
4.000000e+02,-7.796001e+01
5.330000e+02,-8.211528e+01
6.670000e+02,-8.232525e+01
8.000000e+02,-8.819439e+01
9.330000e+02,-8.415142e+01
1.067000e+03,-8.130962e+01
1.200000e+03,-8.419048e+01
1.333000e+03,-8.481548e+01
1.467000e+03,-9.163677e+01
1.600000e+03,-8.724224e+01
1.733000e+03,-8.552349e+01
1.867000e+03,-9.042583e+01
2.000000e+03,-8.927349e+01
2.133000e+03,-8.659282e+01
2.267000e+03,-8.757427e+01
2.400000e+03,-8.850689e+01
2.533000e+03,-8.664653e+01
2.667000e+03,-8.529400e+01
2.800000e+03,-8.448833e+01
2.933000e+03,-8.593853e+01
3.067000e+03,-8.446880e+01
3.200000e+03,-8.804302e+01
3.333000e+03,-8.680278e+01
3.467000e+03,-9.012798e+01
3.600000e+03,-8.764263e+01
3.733000e+03,-9.309673e+01
3.867000e+03,-8.909771e+01
4.000000e+03,-9.107036e+01
4.133000e+03,-9.137310e+01
4.267000e+03,-8.735943e+01
4.400000e+03,-8.498150e+01
4.533000e+03,-8.440044e+01
4.667000e+03,-8.757427e+01
4.800000e+03,-8.479107e+01
4.933000e+03,-8.454204e+01
5.067000e+03,-8.337505e+01
5.200000e+03,-8.750591e+01
5.333000e+03,-8.589946e+01
5.467000e+03,-8.483989e+01
5.600000e+03,-8.906841e+01
5.733000e+03,-8.842876e+01
5.867000e+03,-9.051372e+01
6.000000e+03,-8.853618e+01
6.133000e+03,-8.125591e+01
6.267000e+03,-7.930278e+01
6.400000e+03,-8.079693e+01
6.533000e+03,-8.433696e+01
6.667000e+03,-9.052837e+01
6.800000e+03,-8.913189e+01
6.933000e+03,-8.811626e+01
7.067000e+03,-8.373150e+01
7.200000e+03,-8.417583e+01
7.333000e+03,-8.529400e+01
7.467000e+03,-8.651958e+01
7.600000e+03,-9.338482e+01
7.733000e+03,-9.432720e+01
7.867000e+03,-8.799419e+01
8.000000e+03,-8.709575e+01
8.133000e+03,-8.724712e+01
8.267000e+03,-9.032329e+01
8.400000e+03,-8.867290e+01
8.533000e+03,-9.209575e+01
8.667000e+03,-8.508403e+01
8.800000e+03,-8.793071e+01
8.933000e+03,-8.580181e+01
9.067000e+03,-8.917583e+01
9.200000e+03,-9.084575e+01
9.333000e+03,-8.662212e+01
9.467000e+03,-8.554790e+01
9.600000e+03,-8.603130e+01
9.733000e+03,-8.367290e+01
9.867000e+03,-8.396099e+01
1.000000e+04,-9.224224e+01
1.013300e+04,-9.291118e+01
1.026700e+04,-9.030376e+01
1.040000e+04,-8.629985e+01
1.053300e+04,-8.089458e+01
1.066700e+04,-8.343853e+01
1.080000e+04,-9.142193e+01
1.093300e+04,-9.258403e+01
1.106700e+04,-8.364849e+01
1.120000e+04,-8.425884e+01
1.133300e+04,-8.980571e+01
1.146700e+04,-8.629497e+01
1.160000e+04,-7.902446e+01
1.173300e+04,-8.020610e+01
1.186700e+04,-9.176372e+01
1.200000e+04,-9.014751e+01
1.213300e+04,-8.904400e+01
1.226700e+04,-8.929790e+01
1.240000e+04,-8.850200e+01
1.253300e+04,-8.729107e+01
1.266700e+04,-8.948345e+01
1.280000e+04,-9.720806e+01
1.293300e+04,-8.950786e+01
1.306700e+04,-8.587505e+01
1.320000e+04,-8.780864e+01
1.333300e+04,-9.252056e+01
1.346700e+04,-9.837505e+01
1.360000e+04,-9.194439e+01
1.373300e+04,-9.100689e+01
1.386700e+04,-8.434673e+01
