Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBμV
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+0.000000000E+00
Attenuation,20.000000,Auto
Sweep Time,34722.222222,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+5.000000000E+07
Average Type,Log Pwr
RBW,120000.000000,Manual
VBW,300000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,6533333.33333333,,,,,,,
Marker Ampt,-41.83608139,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0,118.96
66667,112.41
133333,95.04
200000,75.25
266667,75.54
333333,78.95
400000,79.53
466667,80.79
533333,80.45
600000,82.12
666667,83.54
733333,84.85
800000,84.81
866667,83.40
933333,81.36
1000000,80.94
1066667,81.30
1133333,80.92
1200000,80.91
1266667,80.94
1333333,81.06
1400000,81.10
1466667,80.98
1533333,80.80
1600000,80.96
1666667,80.83
1733333,80.51
1800000,80.38
1866667,80.19
1933333,80.07
2000000,79.84
2066667,79.75
2133333,79.56
2200000,79.49
2266667,79.00
2333333,78.58
2400000,78.43
2466667,78.29
2533333,77.96
2600000,77.54
2666667,77.49
2733333,76.79
2800000,76.47
2866667,76.10
2933333,75.65
3000000,75.64
3066667,74.81
3133333,74.63
3200000,74.36
3266667,74.20
3333333,73.70
3400000,73.79
3466667,73.52
3533333,73.25
3600000,73.25
3666667,73.07
3733333,73.35
3800000,73.18
3866667,73.36
3933333,73.32
4000000,73.38
4066667,73.55
4133333,73.83
4200000,73.95
4266667,74.16
4333333,74.04
4400000,74.20
4466667,74.30
4533333,74.24
4600000,74.46
4666667,74.31
4733333,74.25
4800000,74.54
4866667,74.56
4933333,74.69
5000000,74.66
5066667,74.57
5133333,74.45
5200000,74.38
5266667,74.36
5333333,74.23
5400000,73.96
5466667,73.90
5533333,73.53
5600000,73.39
5666667,72.94
5733333,72.56
5800000,72.25
5866667,71.64
5933333,71.43
6000000,71.08
6066667,70.66
6133333,69.78
6200000,69.20
6266667,68.67
6333333,68.26
6400000,67.31
6466667,65.98
6533333,65.15
6600000,64.09
6666667,62.84
6733333,60.94
6800000,60.17
6866667,59.61
6933333,57.61
7000000,54.27
7066667,51.97
7133333,46.56
7200000,46.55
7266667,50.60
7333333,57.37
7400000,58.88
7466667,57.96
7533333,56.53
7600000,54.97
7666667,55.29
7733333,57.18
7800000,57.40
7866667,58.34
7933333,59.00
8000000,58.76
8066667,57.90
8133333,58.68
8200000,59.66
8266667,60.26
8333333,58.13
8400000,55.02
8466667,48.14
8533333,52.13
8600000,55.51
8666667,55.48
8733333,56.34
8800000,56.13
8866667,57.45
8933333,57.13
9000000,58.13
9066667,59.06
9133333,34.06
9200000,60.78
9266667,61.70
9333333,61.70
9400000,61.85
9466667,62.33
9533333,62.37
9600000,62.98
9666667,62.77
9733333,62.90
9800000,63.02
9866667,63.17
9933333,62.91
10000000,63.21
10066667,62.75
10133333,62.70
10200000,62.97
10266667,62.61
10333333,62.35
10400000,62.05
10466667,61.86
10533333,61.72
10600000,61.52
10666667,61.23
10733333,61.52
10800000,61.09
10866667,60.18
10933333,60.22
11000000,59.98
11066667,60.32
11133333,59.83
11200000,59.51
11266667,58.45
11333333,58.47
11400000,58.25
11466667,58.02
11533333,57.53
11600000,57.15
11666667,55.21
11733333,55.21
11800000,54.91
11866667,56.24
11933333,57.57
12000000,59.16
12066667,60.26
12133333,60.95
12200000,61.76
12266667,62.71
12333333,62.80
12400000,62.98
12466667,63.22
12533333,63.28
12600000,62.67
12666667,62.54
12733333,62.29
12800000,61.85
12866667,61.43
12933333,61.05
13000000,60.14
13066667,58.99
13133333,57.35
13200000,56.05
13266667,54.70
13333333,53.07
13400000,49.72
13466667,48.86
13533333,47.22
13600000,41.21
13666667,42.88
13733333,40.15
13800000,38.91
13866667,42.53
13933333,41.91
14000000,40.82
14066667,41.19
14133333,46.25
14200000,46.09
14266667,45.57
14333333,46.35
14400000,45.11
14466667,47.23
14533333,46.35
14600000,48.22
14666667,47.76
14733333,48.08
14800000,48.95
14866667,49.73
14933333,50.46
15000000,51.37
15066667,52.27
15133333,52.33
15200000,53.46
15266667,53.53
15333333,53.51
15400000,54.04
15466667,54.32
15533333,53.67
15600000,54.40
15666667,53.91
15733333,55.18
15800000,53.63
15866667,54.75
15933333,53.86
16000000,53.47
16066667,54.45
16133333,53.83
16200000,53.12
16266667,53.46
16333333,53.42
16400000,52.96
16466667,51.74
16533333,52.50
16600000,51.84
16666667,51.32
16733333,50.71
16800000,50.69
16866667,50.77
16933333,49.82
17000000,49.58
17066667,49.31
17133333,48.43
17200000,49.06
17266667,48.98
17333333,46.98
17400000,47.62
17466667,46.92
17533333,45.16
17600000,45.23
17666667,44.76
17733333,44.54
17800000,45.39
17866667,45.47
17933333,44.75
18000000,41.81
18066667,40.03
18133333,41.60
18200000,41.72
18266667,40.87
18333333,40.97
18400000,43.86
18466667,43.28
18533333,40.02
18600000,43.65
18666667,44.74
18733333,47.01
18800000,47.08
18866667,45.23
18933333,47.87
19000000,46.16
19066667,44.11
19133333,46.01
19200000,45.11
19266667,48.07
19333333,46.24
19400000,47.52
19466667,46.46
19533333,46.19
19600000,44.87
19666667,46.29
19733333,42.17
19800000,45.00
19866667,39.90
19933333,39.82
20000000,43.40
20066667,41.35
20133333,41.93
20200000,39.76
20266667,39.70
20333333,40.35
20400000,39.36
20466667,38.30
20533333,39.48
20600000,38.88
20666667,36.98
20733333,37.19
20800000,37.32
20866667,34.33
20933333,37.03
21000000,33.92
21066667,36.14
21133333,36.98
21200000,38.46
21266667,35.19
21333333,36.36
21400000,36.68
21466667,38.01
21533333,33.54
21600000,35.94
21666667,36.89
21733333,38.49
21800000,40.84
21866667,39.54
21933333,38.08
22000000,37.39
22066667,35.53
22133333,40.56
22200000,35.13
22266667,33.63
22333333,40.39
22400000,36.18
22466667,34.40
22533333,34.31
22600000,34.74
22666667,32.09
22733333,36.80
22800000,34.72
22866667,36.20
22933333,35.63
23000000,35.60
23066667,35.56
23133333,38.05
23200000,36.85
23266667,41.18
23333333,34.39
23400000,35.23
23466667,37.42
23533333,35.08
23600000,36.05
23666667,34.18
23733333,36.13
23800000,39.62
23866667,39.20
23933333,37.15
24000000,36.07
24066667,34.90
24133333,36.91
24200000,36.97
24266667,36.45
24333333,35.84
24400000,37.56
24466667,34.82
24533333,35.26
24600000,38.57
24666667,37.64
24733333,34.75
24800000,39.57
24866667,35.72
24933333,34.57
25000000,35.69
25066667,39.79
25133333,36.47
25200000,42.16
25266667,41.81
25333333,39.29
25400000,40.28
25466667,38.53
25533333,43.95
25600000,38.88
25666667,36.59
25733333,33.83
25800000,38.96
25866667,36.83
25933333,40.19
26000000,41.73
26066667,41.28
26133333,39.59
26200000,44.06
26266667,44.20
26333333,44.56
26400000,43.90
26466667,44.72
26533333,43.69
26600000,43.78
26666667,42.61
26733333,38.46
26800000,38.27
26866667,36.69
26933333,40.18
27000000,41.84
27066667,42.67
27133333,42.95
27200000,43.64
27266667,44.05
27333333,43.97
27400000,44.73
27466667,46.63
27533333,41.34
27600000,43.18
27666667,43.57
27733333,38.18
27800000,43.85
27866667,41.59
27933333,40.95
28000000,38.42
28066667,38.16
28133333,36.44
28200000,35.65
28266667,39.29
28333333,35.78
28400000,34.36
28466667,36.33
28533333,37.21
28600000,37.01
28666667,38.53
28733333,38.65
28800000,39.02
28866667,38.37
28933333,41.00
29000000,39.24
29066667,42.04
29133333,37.24
29200000,37.83
29266667,37.81
29333333,39.60
29400000,41.11
29466667,41.73
29533333,39.02
29600000,40.50
29666667,41.78
29733333,40.57
29800000,41.70
29866667,38.41
29933333,40.17
30000000,39.04
30066667,41.12
30133333,41.12
30200000,43.47
30266667,39.06
30333333,41.14
30400000,42.76
30466667,41.79
30533333,38.83
30600000,34.74
30666667,38.73
30733333,34.14
30800000,42.33
30866667,38.28
30933333,37.27
31000000,35.62
31066667,38.87
31133333,33.56
31200000,38.28
