Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBuV
Impedance,50
Number of Points,751
Sweep Time(s),0.962438,Auto
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+05
Average Type,Log Pwr
RBW,100.000000,Manual
VBW,100.000000,Manual
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,A,Frequency,90.000 kHz,18.48 dBuV
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0.000000e+00,-8.096730e+00
1.330000e+02,-1.242778e+01
2.670000e+02,-5.520122e+01
4.000000e+02,-8.207134e+01
5.330000e+02,-8.508403e+01
6.670000e+02,-8.283306e+01
8.000000e+02,-8.552349e+01
9.330000e+02,-8.647564e+01
1.067000e+03,-9.056255e+01
1.200000e+03,-9.123638e+01
1.333000e+03,-8.566509e+01
1.467000e+03,-8.288677e+01
1.600000e+03,-8.864849e+01
1.733000e+03,-8.696392e+01
1.867000e+03,-8.536724e+01
2.000000e+03,-9.243267e+01
2.133000e+03,-8.744732e+01
2.267000e+03,-9.114360e+01
2.400000e+03,-8.655376e+01
2.533000e+03,-8.526470e+01
2.667000e+03,-8.775493e+01
2.800000e+03,-8.792583e+01
2.933000e+03,-8.704204e+01
3.067000e+03,-8.649517e+01
3.200000e+03,-8.864360e+01
3.333000e+03,-8.940532e+01
3.467000e+03,-8.966411e+01
3.600000e+03,-8.982036e+01
3.733000e+03,-8.719829e+01
3.867000e+03,-8.686626e+01
4.000000e+03,-8.770122e+01
4.133000e+03,-8.995708e+01
4.267000e+03,-8.592388e+01
4.400000e+03,-8.367778e+01
4.533000e+03,-8.400493e+01
4.667000e+03,-8.558208e+01
4.800000e+03,-8.910747e+01
4.933000e+03,-8.535747e+01
5.067000e+03,-8.761333e+01
5.200000e+03,-8.851665e+01
5.333000e+03,-8.564068e+01
5.467000e+03,-8.921978e+01
5.600000e+03,-8.872661e+01
5.733000e+03,-8.592388e+01
5.867000e+03,-8.618755e+01
6.000000e+03,-8.316021e+01
6.133000e+03,-8.368755e+01
6.267000e+03,-8.477153e+01
6.400000e+03,-8.543071e+01
6.533000e+03,-8.591411e+01
6.667000e+03,-8.504985e+01
6.800000e+03,-8.718364e+01
6.933000e+03,-8.911724e+01
7.067000e+03,-9.279400e+01
7.200000e+03,-9.441997e+01
7.333000e+03,-8.968853e+01
7.467000e+03,-8.763286e+01
7.600000e+03,-8.669536e+01
7.733000e+03,-8.262310e+01
7.867000e+03,-8.454693e+01
8.000000e+03,-8.620220e+01
8.133000e+03,-8.314556e+01
8.267000e+03,-8.459575e+01
8.400000e+03,-8.175884e+01
8.533000e+03,-8.377544e+01
8.667000e+03,-8.366314e+01
8.800000e+03,-8.608501e+01
8.933000e+03,-9.212017e+01
9.067000e+03,-8.751079e+01
9.200000e+03,-8.991314e+01
9.333000e+03,-8.694927e+01
9.467000e+03,-8.813091e+01
9.600000e+03,-9.050396e+01
9.733000e+03,-8.963482e+01
9.867000e+03,-9.036235e+01
1.000000e+04,-9.057720e+01
1.013300e+04,-8.983013e+01
1.026700e+04,-8.906841e+01
1.040000e+04,-8.965923e+01
1.053300e+04,-8.619243e+01
1.066700e+04,-8.614849e+01
1.080000e+04,-8.763775e+01
1.093300e+04,-8.784771e+01
1.106700e+04,-8.920513e+01
1.120000e+04,-8.576275e+01
1.133300e+04,-8.445903e+01
1.146700e+04,-8.871196e+01
1.160000e+04,-8.712505e+01
1.173300e+04,-8.739360e+01
1.186700e+04,-8.556743e+01
1.200000e+04,-8.319439e+01
1.213300e+04,-8.904888e+01
1.226700e+04,-8.765239e+01
1.240000e+04,-8.596294e+01
1.253300e+04,-9.175396e+01
1.266700e+04,-9.045025e+01
1.280000e+04,-9.194927e+01
1.293300e+04,-8.976665e+01
1.306700e+04,-9.093853e+01
1.320000e+04,-9.111431e+01
1.333300e+04,-8.915630e+01
1.346700e+04,-8.611431e+01
1.360000e+04,-8.927349e+01
1.373300e+04,-8.687114e+01
1.386700e+04,-8.371685e+01
