Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBμV
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+5.000000000E+00
Attenuation,30.000000,Manual
Sweep Time,7305437.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+1.000000000E+06
Average Type,Log Pwr
RBW,30.000000,Manual
VBW,30.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,21333.33333333,,,,,,,
Marker Ampt,8.68532813,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0,126.22
1333,70.28
2667,53.47
4000,52.36
5333,49.74
6667,52.51
8000,51.29
9333,49.91
10667,52.44
12000,50.65
13333,50.78
14667,50.10
16000,53.55
17333,53.85
18667,68.61
20000,104.54
21333,115.68
22667,67.04
24000,57.35
25333,50.72
26667,52.66
28000,53.76
29333,49.71
30667,49.25
32000,52.75
33333,53.03
34667,52.00
36000,52.23
37333,55.17
38667,63.02
40000,84.43
41333,103.18
42667,66.86
44000,56.30
45333,51.57
46667,51.19
48000,51.28
49333,52.41
50667,50.99
52000,51.15
53333,50.90
54667,50.74
56000,51.73
57333,52.73
58667,51.59
60000,57.34
61333,80.42
62667,101.36
64000,64.74
65333,54.67
66667,52.78
68000,50.78
69333,50.26
70667,51.04
72000,51.54
73333,53.02
74667,53.38
76000,51.15
77333,50.76
78667,52.61
80000,59.88
81333,73.91
82667,97.74
84000,98.22
85333,59.11
86667,53.38
88000,51.78
89333,50.09
90667,52.96
92000,53.10
93333,55.85
94667,52.44
96000,52.66
97333,53.06
98667,52.15
100000,53.23
101333,51.33
102667,61.37
104000,80.92
105333,93.88
106667,62.83
108000,53.88
109333,51.80
110667,52.50
112000,52.44
113333,53.58
114667,53.16
116000,52.57
117333,53.68
118667,52.84
120000,53.29
121333,54.84
122667,67.25
124000,88.80
125333,95.69
126667,69.80
128000,52.98
129333,53.76
130667,53.31
132000,49.88
133333,53.33
134667,52.21
136000,53.17
137333,53.79
138667,51.45
140000,50.17
141333,52.48
142667,63.65
144000,78.96
145333,70.32
146667,80.75
148000,87.53
149333,60.12
150667,53.19
152000,53.92
153333,53.31
154667,52.37
156000,54.45
157333,54.13
158667,50.71
160000,51.03
161333,50.53
162667,53.59
164000,54.42
165333,72.61
166667,73.07
168000,93.74
169333,61.93
170667,53.37
172000,52.55
173333,55.00
174667,53.96
176000,52.80
177333,52.63
178667,55.52
180000,55.17
181333,52.60
182667,51.89
184000,60.49
185333,68.86
186667,83.88
188000,87.12
189333,58.00
190667,52.29
192000,52.37
193333,51.36
194667,53.41
196000,50.18
197333,52.10
198667,53.56
200000,52.18
201333,54.37
202667,53.45
204000,59.08
205333,53.60
206667,58.97
208000,71.82
209333,73.82
210667,82.37
212000,67.67
213333,53.24
214667,52.99
216000,53.18
217333,52.30
218667,52.80
220000,51.78
221333,51.34
222667,51.94
224000,53.89
225333,54.47
226667,61.30
228000,65.79
229333,81.82
230667,80.75
232000,52.33
233333,52.26
234667,52.36
236000,51.56
237333,52.21
238667,52.66
240000,53.38
241333,52.71
242667,52.33
244000,54.80
245333,63.99
246667,69.25
248000,74.21
249333,76.34
250667,67.22
252000,61.10
253333,74.87
254667,54.44
256000,55.38
257333,51.59
258667,51.12
260000,53.53
261333,52.21
262667,53.08
264000,54.43
265333,51.64
266667,51.19
268000,52.65
269333,62.13
270667,66.12
272000,72.24
273333,77.70
274667,53.23
276000,53.48
277333,53.54
278667,53.84
280000,51.21
281333,51.40
282667,53.21
284000,49.83
285333,51.35
286667,53.87
288000,61.65
289333,72.31
290667,79.43
292000,79.76
293333,51.31
294667,51.45
296000,51.74
297333,49.79
298667,53.39
300000,51.03
301333,49.12
302667,49.74
304000,50.46
305333,52.55
306667,52.27
308000,50.48
309333,50.25
310667,55.25
312000,55.31
313333,67.12
314667,76.50
316000,62.07
317333,53.59
318667,51.03
320000,51.60
321333,51.27
322667,51.47
324000,53.73
325333,50.80
326667,48.82
328000,51.42
329333,55.98
330667,65.08
332000,63.51
333333,71.27
334667,77.91
336000,58.25
337333,51.62
338667,51.67
340000,50.88
341333,50.43
342667,48.23
344000,52.29
345333,50.34
346667,50.17
348000,52.14
349333,55.12
350667,58.57
352000,64.99
353333,61.99
354667,57.58
356000,61.79
357333,63.55
358667,71.10
360000,61.25
361333,50.88
362667,49.60
364000,49.99
365333,49.10
366667,49.91
368000,50.48
369333,50.31
370667,49.87
372000,53.20
373333,61.70
374667,62.19
376000,71.63
377333,67.46
378667,50.41
380000,47.62
381333,49.48
382667,47.89
384000,51.69
385333,49.51
386667,47.61
388000,50.68
389333,48.95
390667,52.66
392000,54.79
393333,60.81
394667,65.62
396000,70.05
397333,54.97
398667,56.51
400000,56.87
401333,53.30
402667,49.32
404000,48.55
405333,50.34
406667,48.71
408000,47.76
409333,50.02
410667,46.08
412000,47.36
413333,47.82
414667,52.57
416000,55.63
417333,61.03
418667,66.76
420000,62.96
421333,68.84
422667,46.64
424000,48.18
425333,46.71
426667,49.18
428000,47.09
429333,49.98
430667,47.01
432000,46.10
433333,54.42
434667,58.81
436000,60.59
437333,70.55
438667,69.67
440000,46.64
441333,48.76
442667,47.67
444000,46.08
445333,47.31
446667,49.05
448000,45.67
449333,50.46
450667,52.45
452000,57.17
453333,58.79
454667,67.31
456000,65.81
457333,60.90
458667,54.84
460000,58.30
461333,66.50
462667,64.43
464000,60.09
465333,48.13
466667,46.32
468000,46.09
469333,47.13
470667,45.96
472000,46.39
473333,46.26
474667,47.23
476000,49.09
477333,55.50
478667,55.90
480000,59.52
481333,61.84
482667,47.30
484000,46.48
485333,45.11
486667,45.68
488000,47.31
489333,45.58
490667,45.47
492000,47.21
493333,55.09
494667,56.62
496000,60.35
497333,66.93
498667,65.70
500000,58.12
501333,43.44
502667,46.37
504000,46.28
505333,66.75
506667,59.23
508000,46.96
509333,46.40
510667,43.38
512000,45.27
513333,44.22
514667,44.20
516000,43.42
517333,48.30
518667,49.09
520000,49.27
521333,57.97
522667,57.18
524000,63.98
525333,65.46
526667,45.51
528000,45.14
529333,44.90
530667,44.43
532000,45.60
533333,45.47
534667,47.90
536000,50.15
537333,52.54
538667,54.89
540000,57.78
541333,64.66
542667,60.56
544000,47.17
545333,44.68
546667,43.82
548000,42.50
549333,43.65
550667,44.98
552000,42.49
553333,45.41
554667,43.65
556000,42.76
557333,43.79
558667,44.56
560000,45.31
561333,46.70
562667,50.66
564000,51.38
565333,59.69
566667,62.79
568000,60.35
569333,44.97
570667,43.22
572000,43.27
573333,44.83
574667,42.49
576000,43.50
577333,46.51
578667,54.32
580000,52.50
581333,57.60
582667,59.62
584000,59.19
585333,68.82
586667,59.44
588000,44.21
589333,44.39
590667,42.58
592000,43.45
593333,43.33
594667,48.74
596000,47.79
597333,46.00
598667,52.56
600000,52.83
601333,54.35
602667,49.46
604000,48.08
605333,51.39
606667,51.35
608000,53.01
609333,58.72
610667,61.35
612000,60.68
613333,47.27
614667,43.49
616000,43.08
617333,42.23
618667,42.19
620000,43.83
621333,46.82
622667,51.49
624000,50.94
625333,53.39
626667,61.74
628000,62.50
629333,48.83
630667,42.36
632000,42.02
633333,41.72
634667,42.52
636000,42.54
637333,45.05
638667,46.86
640000,50.75
641333,52.88
642667,53.52
644000,61.68
645333,65.67
646667,63.92
648000,44.67
649333,48.17
650667,46.46
652000,56.69
653333,55.98
654667,61.30
656000,46.92
657333,47.62
658667,49.14
660000,48.76
661333,49.42
662667,45.34
664000,47.28
665333,47.86
666667,45.65
668000,50.86
669333,54.25
670667,54.65
672000,55.00
673333,52.62
674667,40.25
676000,40.13
677333,41.78
678667,41.88
680000,43.30
681333,46.16
682667,47.39
684000,47.30
685333,48.37
686667,52.27
688000,61.09
689333,61.25
690667,41.90
692000,41.71
693333,39.96
694667,40.34
696000,42.88
697333,45.39
698667,49.55
700000,52.18
701333,52.57
702667,51.17
704000,57.30
705333,62.06
706667,64.53
708000,43.85
709333,48.37
710667,46.52
