Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBμV
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+5.000000000E+00
Attenuation,30.000000,Manual
Sweep Time,7305437.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+1.000000000E+06
Average Type,Log Pwr
RBW,30.000000,Manual
VBW,30.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,26666.66666667,,,,,,,
Marker Ampt,-55.46017969,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0,127.07
1333,52.43
2667,50.67
4000,50.59
5333,49.13
6667,50.59
8000,49.84
9333,49.32
10667,47.04
12000,47.62
13333,48.04
14667,48.40
16000,49.75
17333,49.57
18667,52.39
20000,72.49
21333,93.98
22667,61.73
24000,53.34
25333,50.59
26667,51.53
28000,52.83
29333,52.94
30667,52.55
32000,52.69
33333,50.73
34667,51.67
36000,49.87
37333,49.25
38667,50.56
40000,50.37
41333,76.11
42667,88.99
44000,71.96
45333,51.17
46667,51.79
48000,50.01
49333,50.13
50667,50.34
52000,50.32
53333,52.06
54667,49.95
56000,51.32
57333,50.85
58667,51.89
60000,51.77
61333,52.90
62667,67.18
64000,74.40
65333,72.97
66667,49.22
68000,53.81
69333,51.12
70667,48.52
72000,51.84
73333,52.81
74667,49.72
76000,51.21
77333,52.06
78667,53.60
80000,49.77
81333,50.24
82667,62.02
84000,69.79
85333,76.09
86667,78.99
88000,50.99
89333,52.56
90667,51.28
92000,50.47
93333,51.30
94667,50.10
96000,50.41
97333,52.75
98667,50.10
100000,53.64
101333,49.94
102667,53.16
104000,57.22
105333,62.51
106667,67.44
108000,69.67
109333,49.66
110667,51.99
112000,50.18
113333,51.49
114667,50.66
116000,53.28
117333,52.93
118667,50.59
120000,52.22
121333,50.42
122667,50.40
124000,53.03
125333,58.77
126667,61.39
128000,71.49
129333,72.09
130667,49.69
132000,49.39
133333,51.40
134667,50.64
136000,53.61
137333,51.58
138667,51.42
140000,52.70
141333,49.97
142667,50.71
144000,49.57
145333,49.77
146667,52.28
148000,52.39
149333,56.56
150667,65.23
152000,55.17
153333,50.42
154667,51.45
156000,52.12
157333,51.00
158667,51.45
160000,51.98
161333,49.95
162667,49.19
164000,50.50
165333,51.82
166667,51.52
168000,52.73
169333,54.47
170667,58.41
172000,59.32
173333,51.82
174667,52.47
176000,51.37
177333,50.25
178667,51.36
180000,51.37
181333,52.24
182667,52.86
184000,50.99
185333,51.34
186667,52.96
188000,53.13
189333,52.76
190667,54.38
192000,52.85
193333,58.74
194667,53.27
196000,53.32
197333,52.75
198667,52.27
200000,52.26
201333,50.78
202667,52.88
204000,53.26
205333,52.40
206667,50.73
208000,53.16
209333,53.82
210667,53.77
212000,53.14
213333,55.24
214667,60.59
216000,51.23
217333,51.92
218667,53.21
220000,52.97
221333,52.87
222667,53.40
224000,53.16
225333,50.47
226667,51.03
228000,50.50
229333,52.15
230667,52.04
232000,50.78
233333,52.05
234667,50.87
236000,53.51
237333,54.61
238667,51.34
240000,55.03
241333,50.99
242667,50.79
244000,50.74
245333,50.65
246667,51.80
248000,50.29
249333,51.04
250667,51.60
252000,51.25
253333,50.46
254667,51.16
256000,54.07
257333,54.10
258667,55.20
260000,50.77
261333,50.46
262667,50.64
264000,52.44
265333,52.48
266667,51.29
268000,51.68
269333,52.15
270667,51.39
272000,50.16
273333,52.19
274667,49.78
276000,51.01
277333,51.67
278667,51.84
280000,51.66
281333,51.05
282667,50.60
284000,49.71
285333,49.92
286667,52.15
288000,53.82
289333,48.91
290667,50.53
292000,50.87
293333,51.68
294667,48.49
296000,52.03
297333,52.10
298667,50.40
300000,51.88
301333,52.23
302667,55.54
304000,50.39
305333,50.60
306667,49.42
308000,50.23
309333,51.25
310667,53.13
312000,49.98
313333,49.60
314667,49.54
316000,51.06
317333,50.34
318667,51.49
320000,52.54
321333,50.79
322667,50.91
324000,52.48
325333,50.68
326667,50.16
328000,51.40
329333,49.00
330667,48.62
332000,51.35
333333,49.51
334667,49.66
336000,49.33
337333,49.77
338667,50.42
340000,49.86
341333,48.15
342667,49.35
344000,52.00
345333,52.48
346667,52.70
348000,50.09
349333,47.42
350667,47.81
352000,50.75
353333,48.35
354667,49.55
356000,49.24
357333,48.94
358667,52.59
360000,49.24
361333,50.99
362667,48.84
364000,47.52
365333,50.03
366667,47.78
368000,50.42
369333,48.54
370667,48.43
372000,48.81
373333,47.94
374667,49.41
376000,49.47
377333,49.28
378667,48.43
380000,50.61
381333,47.49
382667,47.42
384000,48.57
385333,49.64
386667,52.31
388000,53.46
389333,47.90
390667,49.37
392000,47.45
393333,46.31
394667,48.38
396000,49.97
397333,46.40
398667,47.82
400000,47.42
401333,48.03
402667,50.92
404000,49.33
405333,49.29
406667,47.61
408000,49.45
409333,51.55
410667,51.71
412000,50.58
413333,45.93
414667,50.14
416000,48.49
417333,45.97
418667,47.90
420000,47.07
421333,47.29
422667,46.74
424000,47.84
425333,47.50
426667,46.71
428000,47.81
429333,46.77
430667,50.36
432000,51.93
433333,50.48
434667,47.55
436000,46.58
437333,46.15
438667,46.60
440000,45.48
441333,46.09
442667,47.63
444000,46.53
445333,50.27
446667,48.99
448000,49.10
449333,47.10
450667,49.25
452000,51.38
453333,49.93
454667,47.47
456000,46.05
457333,45.80
458667,46.27
460000,45.14
461333,44.03
462667,43.54
464000,44.90
465333,44.98
466667,46.11
468000,45.13
469333,44.28
470667,45.61
472000,48.01
473333,51.67
474667,55.64
476000,46.15
477333,46.86
478667,43.70
480000,44.76
481333,45.77
482667,45.77
484000,44.32
485333,47.10
486667,47.41
488000,45.58
489333,47.06
490667,47.14
492000,49.24
493333,49.30
494667,53.65
496000,52.29
497333,50.01
498667,45.63
500000,46.39
501333,46.14
502667,43.75
504000,47.71
505333,45.29
506667,45.40
508000,44.18
509333,46.73
510667,43.77
512000,44.97
513333,44.19
514667,45.63
516000,46.82
517333,53.66
518667,53.59
520000,44.94
521333,44.67
522667,42.96
524000,44.92
525333,45.08
526667,46.09
528000,45.92
529333,45.67
530667,49.22
532000,48.39
533333,47.02
534667,51.51
536000,50.41
537333,54.92
538667,54.40
540000,55.38
541333,46.55
542667,45.58
544000,46.71
545333,44.67
546667,46.71
548000,48.16
549333,45.12
550667,43.83
552000,45.92
553333,43.91
554667,44.33
556000,47.02
557333,47.94
558667,53.66
560000,52.76
561333,43.64
562667,43.91
564000,45.48
565333,45.34
566667,44.43
568000,45.13
569333,48.52
570667,45.40
572000,48.18
573333,50.37
574667,50.32
576000,49.17
577333,51.43
578667,51.83
580000,54.71
581333,53.59
582667,45.07
584000,44.40
585333,44.10
586667,45.40
588000,47.51
589333,46.54
590667,47.47
592000,47.06
593333,49.83
594667,47.03
596000,47.47
597333,46.54
598667,44.00
600000,43.80
601333,46.72
602667,47.46
604000,46.25
605333,47.04
606667,48.71
608000,47.54
609333,44.66
610667,43.93
612000,42.37
613333,46.57
614667,42.13
616000,40.98
617333,42.54
618667,41.09
620000,42.61
621333,44.31
622667,47.37
624000,47.79
625333,54.37
626667,55.25
628000,57.54
629333,57.82
630667,49.26
632000,45.46
633333,43.59
634667,44.81
636000,46.91
637333,46.69
638667,48.90
640000,48.80
641333,47.55
642667,49.89
644000,48.57
645333,50.28
646667,49.74
648000,51.92
649333,41.87
650667,44.14
652000,41.78
653333,42.71
654667,42.78
656000,42.11
657333,42.73
658667,41.90
660000,45.17
661333,45.15
662667,47.59
664000,47.51
665333,52.34
666667,53.60
668000,56.60
669333,58.84
670667,49.50
672000,48.10
673333,44.90
674667,45.06
676000,47.66
677333,47.53
678667,47.42
680000,48.51
681333,47.61
682667,48.64
684000,48.27
685333,49.07
686667,51.68
688000,49.45
689333,51.40
690667,54.26
692000,54.53
693333,51.60
694667,49.87
696000,46.19
697333,45.82
698667,44.99
700000,44.77
701333,44.36
702667,43.83
704000,44.40
705333,44.00
706667,44.42
708000,44.94
709333,45.78
710667,49.46
