Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBμV
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+1.000000000E+01
Attenuation,30.000000,Manual
Sweep Time,3000.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+3.000000000E+07
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,100000.000000,Manual
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,320000.00000000,,,,,,,
Marker Ampt,18.52615834,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0,127.00
40000,126.87
80000,126.77
120000,126.56
160000,126.51
200000,126.28
240000,126.03
280000,125.81
320000,125.52
360000,125.23
400000,124.90
440000,124.56
480000,124.09
520000,123.58
560000,123.01
600000,122.32
640000,121.72
680000,120.86
720000,120.11
760000,119.32
800000,118.52
840000,117.68
880000,116.81
920000,115.83
960000,114.79
1000000,113.63
1040000,112.66
1080000,111.27
1120000,109.99
1160000,108.62
1200000,107.18
1240000,105.90
1280000,104.42
1320000,103.69
1360000,101.34
1400000,99.77
1440000,98.11
1480000,100.49
1520000,100.78
1560000,93.19
1600000,90.67
1640000,88.64
1680000,86.49
1720000,84.26
1760000,83.78
1800000,88.26
1840000,80.00
1880000,75.79
1920000,73.40
1960000,88.96
2000000,86.85
2040000,68.87
2080000,67.36
2120000,67.57
2160000,66.59
2200000,65.46
2240000,74.88
2280000,81.13
2320000,64.30
2360000,64.53
2400000,65.18
2440000,85.93
2480000,77.40
2520000,64.21
2560000,64.76
2600000,62.64
2640000,62.15
2680000,66.80
2720000,77.58
2760000,77.74
2800000,65.39
2840000,61.09
2880000,63.84
2920000,85.63
2960000,68.75
3000000,61.47
3040000,60.69
3080000,63.82
3120000,64.80
3160000,63.67
3200000,73.96
3240000,70.65
3280000,62.55
3320000,62.55
3360000,63.00
3400000,82.66
3440000,63.52
3480000,59.90
3520000,59.29
3560000,62.20
3600000,61.96
3640000,61.14
3680000,70.52
3720000,64.93
3760000,61.62
3800000,59.96
3840000,72.28
3880000,81.81
3920000,63.13
3960000,60.89
4000000,56.73
4040000,58.45
4080000,59.10
4120000,61.39
4160000,71.09
4200000,61.63
4240000,64.10
4280000,58.14
4320000,81.58
4360000,81.03
4400000,60.15
4440000,58.05
4480000,58.11
4520000,58.67
4560000,59.07
4600000,62.95
4640000,67.40
4680000,62.19
4720000,60.77
4760000,59.25
4800000,82.40
4840000,74.30
4880000,58.45
4920000,58.69
4960000,56.70
5000000,55.54
5040000,55.92
5080000,68.30
5120000,67.81
5160000,59.15
5200000,58.64
5240000,57.91
5280000,81.46
5320000,65.28
5360000,59.25
5400000,59.33
5440000,58.45
5480000,59.35
5520000,58.79
5560000,66.09
5600000,64.75
5640000,56.30
5680000,57.13
5720000,64.99
5760000,81.85
5800000,58.56
5840000,58.94
5880000,57.93
5920000,58.48
5960000,55.91
6000000,58.79
6040000,65.69
6080000,61.12
6120000,57.72
6160000,54.20
6200000,77.54
6240000,77.99
6280000,56.30
6320000,56.92
6360000,57.69
6400000,57.97
6440000,56.65
6480000,57.79
6520000,63.56
6560000,58.21
6600000,56.82
6640000,57.96
6680000,79.48
6720000,70.60
6760000,55.42
6800000,53.11
6840000,56.83
6880000,57.46
6920000,58.51
6960000,65.90
7000000,64.36
7040000,54.41
7080000,58.45
7120000,60.28
7160000,77.88
7200000,61.06
7240000,57.00
7280000,56.08
7320000,76.74
7360000,77.23
7400000,57.14
7440000,56.00
7480000,53.62
7520000,54.24
7560000,56.96
7600000,62.24
7640000,65.85
7680000,59.30
7720000,56.23
7760000,53.08
7800000,75.01
7840000,62.48
7880000,53.14
7920000,54.61
7960000,55.71
8000000,53.81
8040000,52.86
8080000,63.83
8120000,62.39
8160000,56.39
8200000,53.96
8240000,55.54
8280000,73.13
8320000,58.76
8360000,53.92
8400000,51.33
8440000,54.37
8480000,53.89
8520000,54.32
8560000,62.82
8600000,57.36
8640000,55.66
8680000,54.67
8720000,69.06
8760000,70.04
8800000,53.59
8840000,54.01
8880000,53.98
8920000,51.93
8960000,54.89
9000000,59.39
9040000,62.93
9080000,53.46
9120000,54.31
9160000,55.56
9200000,59.14
9240000,61.14
9280000,54.20
9320000,52.37
9360000,53.87
9400000,70.37
9440000,66.12
9480000,54.40
9520000,54.56
9560000,51.54
9600000,53.78
9640000,53.32
9680000,62.00
9720000,59.59
9760000,52.30
9800000,57.56
9840000,57.27
9880000,72.71
9920000,56.81
9960000,55.06
10000000,54.96
10040000,54.81
10080000,55.23
10120000,51.74
10160000,60.70
10200000,57.42
10240000,57.53
10280000,53.99
10320000,68.69
10360000,73.98
10400000,52.86
10440000,53.14
10480000,51.66
10520000,53.16
10560000,55.82
10600000,57.39
10640000,61.08
10680000,53.76
10720000,54.29
10760000,54.79
10800000,74.02
10840000,66.98
10880000,53.70
10920000,52.14
10960000,53.05
11000000,53.39
11040000,52.09
11080000,59.38
11120000,56.21
11160000,54.65
11200000,56.78
11240000,52.65
11280000,72.15
11320000,57.16
11360000,56.28
11400000,55.86
11440000,54.17
11480000,52.41
11520000,52.73
11560000,59.46
11600000,54.59
11640000,54.06
11680000,53.00
11720000,55.49
11760000,62.01
11800000,54.52
11840000,54.22
11880000,54.33
11920000,71.88
11960000,72.62
12000000,53.72
12040000,53.52
12080000,54.58
12120000,51.40
12160000,52.00
12200000,57.93
12240000,58.75
12280000,54.65
12320000,52.50
12360000,52.73
12400000,73.19
12440000,61.63
12480000,52.02
12520000,53.33
12560000,53.27
12600000,53.64
12640000,51.08
12680000,60.56
12720000,57.25
12760000,52.66
12800000,53.01
12840000,56.52
12880000,69.90
12920000,56.96
12960000,54.28
13000000,55.19
13040000,50.20
13080000,50.48
13120000,53.62
13160000,56.76
13200000,54.70
13240000,52.20
13280000,52.23
13320000,69.48
13360000,65.61
13400000,53.57
13440000,54.52
13480000,53.69
13520000,52.58
13560000,52.87
13600000,59.36
13640000,58.57
13680000,53.80
13720000,53.44
13760000,53.84
13800000,68.04
13840000,56.66
13880000,51.72
13920000,51.23
13960000,51.90
14000000,52.47
14040000,52.30
14080000,59.05
14120000,55.86
14160000,54.73
14200000,53.51
14240000,52.32
14280000,59.40
14320000,55.29
14360000,54.62
14400000,54.54
14440000,61.32
14480000,62.00
14520000,54.46
14560000,54.07
14600000,55.52
14640000,56.14
14680000,52.34
14720000,58.05
14760000,59.07
14800000,53.94
14840000,53.85
14880000,54.47
14920000,63.95
14960000,56.16
15000000,52.32
15040000,53.76
15080000,52.77
15120000,52.49
15160000,53.21
15200000,59.64
15240000,57.46
15280000,52.02
15320000,52.46
15360000,55.83
15400000,66.56
15440000,52.11
15480000,53.91
15520000,53.70
15560000,52.10
15600000,52.68
15640000,52.46
15680000,57.20
15720000,53.51
15760000,52.35
15800000,55.32
15840000,67.19
15880000,63.70
15920000,55.36
15960000,55.64
16000000,51.72
16040000,52.54
16080000,50.34
16120000,58.92
16160000,57.04
16200000,52.07
16240000,53.82
16280000,50.24
16320000,67.70
16360000,60.82
16400000,52.50
16440000,51.40
16480000,51.74
16520000,51.41
16560000,51.71
16600000,56.35
16640000,54.85
16680000,49.75
16720000,55.74
16760000,67.36
16800000,68.74
16840000,53.59
16880000,52.78
16920000,52.70
16960000,51.54
17000000,53.17
17040000,55.73
17080000,57.60
17120000,51.94
17160000,50.78
17200000,51.53
17240000,67.32
17280000,60.12
17320000,51.15
17360000,53.28
17400000,52.61
17440000,53.22
17480000,51.76
17520000,56.03
17560000,51.50
17600000,52.36
17640000,52.14
17680000,52.04
17720000,66.65
17760000,56.14
17800000,55.48
17840000,53.59
17880000,52.92
17920000,53.76
17960000,51.63
18000000,57.18
18040000,54.57
18080000,51.73
18120000,51.63
18160000,67.06
18200000,62.01
18240000,54.27
18280000,53.18
18320000,55.11
18360000,52.56
18400000,53.08
18440000,58.14
18480000,56.94
18520000,53.28
18560000,54.80
18600000,53.83
18640000,63.92
18680000,55.13
18720000,53.17
18760000,51.57
