Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBμV
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+0.000000000E+00
Attenuation,20.000000,Auto
Sweep Time,1000.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+5.000000000E+07
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,3000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,6533333.33333333,,,,,,,
Marker Ampt,-55.83745759,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0,115.56
66667,115.25
133333,114.82
200000,114.30
266667,113.56
333333,112.50
400000,111.19
466667,109.84
533333,108.17
600000,106.08
666667,104.02
733333,101.65
800000,99.30
866667,96.42
933333,93.03
1000000,97.24
1066667,94.50
1133333,83.17
1200000,79.94
1266667,76.20
1333333,72.73
1400000,71.19
1466667,64.60
1533333,61.39
1600000,59.47
1666667,62.30
1733333,60.33
1800000,59.71
1866667,59.71
1933333,54.15
2000000,52.22
2066667,58.07
2133333,56.15
2200000,52.43
2266667,58.64
2333333,59.44
2400000,65.00
2466667,55.89
2533333,49.44
2600000,53.22
2666667,52.88
2733333,51.31
2800000,42.23
2866667,53.15
2933333,54.20
3000000,49.34
3066667,48.09
3133333,51.50
3200000,66.49
3266667,89.57
3333333,83.75
3400000,53.02
3466667,48.66
3533333,48.38
3600000,54.23
3666667,55.46
3733333,53.80
3800000,53.87
3866667,47.34
3933333,49.42
4000000,47.96
4066667,50.62
4133333,52.95
4200000,52.42
4266667,49.88
4333333,44.89
4400000,41.31
4466667,45.98
4533333,51.80
4600000,46.88
4666667,48.74
4733333,50.39
4800000,47.63
4866667,48.01
4933333,47.48
5000000,50.88
5066667,46.01
5133333,46.42
5200000,45.65
5266667,47.20
5333333,51.79
5400000,51.72
5466667,86.89
5533333,91.51
5600000,67.39
5666667,48.01
5733333,37.26
5800000,47.84
5866667,48.86
5933333,49.55
6000000,50.61
6066667,49.72
6133333,52.09
6200000,52.42
6266667,46.47
6333333,43.43
6400000,52.74
6466667,51.00
6533333,51.15
6600000,46.91
6666667,44.83
6733333,47.71
6800000,49.69
6866667,51.35
6933333,50.75
7000000,48.45
7066667,48.00
7133333,48.28
7200000,44.96
7266667,49.80
7333333,48.00
7400000,47.17
7466667,44.36
7533333,37.92
7600000,45.22
7666667,48.25
7733333,39.29
7800000,44.15
7866667,44.10
7933333,38.91
8000000,46.00
8066667,44.25
8133333,41.74
8200000,47.02
8266667,41.47
8333333,42.00
8400000,45.10
8466667,43.16
8533333,87.45
8600000,87.03
8666667,42.09
8733333,38.55
8800000,45.83
8866667,47.70
8933333,47.84
9000000,44.32
9066667,47.86
9133333,47.13
9200000,41.84
9266667,43.26
9333333,44.03
9400000,44.32
9466667,85.02
9533333,85.15
9600000,44.44
9666667,45.03
9733333,45.70
9800000,45.42
9866667,44.23
9933333,41.81
10000000,43.84
10066667,41.26
10133333,41.20
10200000,41.41
10266667,46.99
10333333,47.22
10400000,41.99
10466667,42.67
10533333,48.20
10600000,48.24
10666667,44.79
10733333,43.80
10800000,42.42
10866667,42.52
10933333,40.37
11000000,43.48
11066667,45.49
11133333,41.86
11200000,44.89
11266667,45.15
11333333,41.54
11400000,47.04
11466667,46.06
11533333,45.29
11600000,45.29
11666667,42.46
11733333,42.06
11800000,41.04
11866667,40.24
11933333,46.16
12000000,40.57
12066667,46.71
12133333,44.95
12200000,43.58
12266667,37.99
12333333,44.75
12400000,46.01
12466667,45.67
12533333,39.07
12600000,40.36
12666667,78.40
12733333,78.20
12800000,43.26
12866667,49.21
12933333,42.67
13000000,41.21
13066667,41.13
13133333,42.63
13200000,37.95
13266667,47.04
13333333,46.64
13400000,45.26
13466667,43.50
13533333,45.31
13600000,41.98
13666667,44.00
13733333,47.91
13800000,46.66
13866667,43.16
13933333,43.26
14000000,42.88
14066667,43.07
14133333,39.96
14200000,40.73
14266667,44.27
14333333,39.34
14400000,38.68
14466667,42.29
14533333,38.64
14600000,38.78
14666667,42.85
14733333,46.00
14800000,42.86
14866667,38.99
14933333,38.15
15000000,39.09
15066667,45.02
15133333,39.56
15200000,42.39
15266667,42.31
15333333,44.03
15400000,44.47
15466667,48.40
15533333,45.66
15600000,37.02
15666667,39.65
15733333,39.02
15800000,40.00
15866667,70.99
15933333,71.04
16000000,40.95
16066667,43.00
16133333,43.10
16200000,39.03
16266667,46.99
16333333,43.28
16400000,41.98
16466667,43.70
16533333,43.36
16600000,42.55
16666667,42.96
16733333,43.87
16800000,44.32
16866667,37.48
16933333,41.16
17000000,47.10
17066667,36.85
17133333,45.58
17200000,43.02
17266667,39.20
17333333,44.10
17400000,40.07
17466667,44.16
17533333,40.00
17600000,42.47
17666667,42.36
17733333,45.35
17800000,43.49
17866667,40.33
17933333,41.35
18000000,38.41
18066667,44.42
18133333,65.33
18200000,64.26
18266667,36.35
18333333,41.21
18400000,45.05
18466667,39.82
18533333,43.32
18600000,42.78
18666667,45.80
18733333,45.14
18800000,45.20
18866667,45.79
18933333,41.40
19000000,39.97
19066667,42.98
19133333,35.90
19200000,40.23
19266667,40.43
19333333,41.49
19400000,43.78
19466667,44.91
19533333,39.80
19600000,42.54
19666667,43.62
19733333,44.83
19800000,45.71
19866667,45.44
19933333,42.95
20000000,40.42
20066667,38.47
20133333,38.64
20200000,40.06
20266667,41.73
20333333,42.42
20400000,52.30
20466667,49.94
20533333,39.71
20600000,43.72
20666667,44.42
20733333,40.41
20800000,40.05
20866667,42.82
20933333,37.15
21000000,43.07
21066667,42.19
21133333,42.73
21200000,42.93
21266667,45.37
21333333,42.43
21400000,44.12
21466667,41.52
21533333,38.08
21600000,37.63
21666667,37.79
21733333,44.69
21800000,44.99
21866667,44.60
21933333,42.90
22000000,42.06
22066667,41.60
22133333,43.64
22200000,42.12
22266667,39.11
22333333,37.38
22400000,42.46
22466667,40.76
22533333,38.47
22600000,42.62
22666667,52.46
22733333,42.42
22800000,42.63
22866667,42.59
22933333,38.54
23000000,41.66
23066667,43.78
23133333,44.14
23200000,40.53
23266667,41.68
23333333,41.67
23400000,41.13
23466667,46.77
23533333,42.04
23600000,43.07
23666667,43.76
23733333,42.75
23800000,44.19
23866667,45.56
23933333,41.39
24000000,43.34
24066667,48.94
24133333,49.24
24200000,38.22
24266667,38.97
24333333,43.63
24400000,43.62
24466667,43.60
24533333,44.08
24600000,43.39
24666667,45.58
24733333,41.01
24800000,35.67
24866667,45.66
24933333,49.55
25000000,46.81
25066667,42.41
25133333,44.83
25200000,47.18
25266667,49.31
25333333,41.70
25400000,42.04
25466667,42.36
25533333,42.43
25600000,43.26
25666667,41.24
25733333,43.94
25800000,47.22
25866667,46.92
25933333,44.22
26000000,41.04
26066667,41.73
26133333,37.96
26200000,38.55
26266667,42.17
26333333,40.55
26400000,49.03
26466667,48.03
26533333,41.65
26600000,42.00
26666667,42.17
26733333,44.59
26800000,41.36
26866667,40.70
26933333,42.34
27000000,38.48
27066667,38.38
27133333,45.05
27200000,54.11
27266667,52.45
27333333,37.20
27400000,38.27
27466667,34.66
27533333,40.78
27600000,41.04
27666667,44.27
27733333,42.98
27800000,42.46
27866667,34.28
27933333,40.76
28000000,43.48
28066667,44.44
28133333,41.96
28200000,43.08
28266667,35.56
28333333,42.52
28400000,43.00
28466667,40.45
28533333,43.71
28600000,36.58
28666667,37.30
28733333,41.48
28800000,38.79
28866667,38.78
28933333,41.95
29000000,46.86
29066667,42.03
29133333,42.13
29200000,43.75
29266667,43.16
29333333,42.23
29400000,39.05
29466667,51.39
29533333,48.25
29600000,44.26
29666667,40.29
29733333,39.61
29800000,35.87
29866667,41.60
29933333,38.97
30000000,42.04
30066667,47.26
30133333,45.14
30200000,40.59
30266667,42.65
30333333,42.07
30400000,40.26
30466667,43.43
30533333,45.64
30600000,40.54
30666667,45.83
30733333,43.64
30800000,42.32
30866667,44.23
30933333,41.75
31000000,43.84
31066667,42.68
31133333,45.32
31200000,34.93
